Time,BE,MM,Depth_Rate,Pitch,mm_rate,be_rate
246.0060298,105,0,-15.85387886,-4.395206927,17.5,0
248.0061699,127.5,0,-13.29525604,-5.563407187,22.5,0
250.00605,150,0,-8.694200985,-7.128566266,22.5,0
252.0065498,160,0,-1.022530417,-8.860615978,10,0
254.00703,175,0,5.623971988,-10.88371996,15,0
256.0067999,192.5,0,3.068710829,-12.06567039,17.5,0
258.0066499,197.5,0,9.205748722,-12.58982186,5,0
260.0062098,197.5,0,8.695578572,-12.54694838,0,0
262.00722,197.5,0,18.4008224,-12.25270065,0,0
264.0100897,195,0,14.80913135,-11.79709072,-2.5,0
266.0069402,185,0,17.92696949,-11.1897173,-10,0
268.0092099,177.5,0,20.94330627,-10.79257098,-7.5,0
270.01056,155,0,21.97503981,-10.28067054,-22.5,0
272.0069499,142.5,0,23.05426724,-9.654952178,-12.5,0
274.00718,120,0,17.38533369,-8.514383796,-22.5,0
276.0069097,102.5,0,9.717768424,-7.084922711,-17.5,0
278.0070098,80,0,2.556833066,-5.459736819,-22.5,0
280.0072,67.5,0,0,-3.831622707,-12.5,0
282.00735,57.5,0,-4.090833038,-2.517501308,-10,0
284.0187802,52.5,0,-7.118805651,-1.621855019,-5,0
286.00881,52.5,0,-9.765134951,-1.436651584,0,0
288.0073999,52.5,0,-9.723306332,-1.746224204,0,0
290.0074102,52.5,0,-13.29613375,-2.288695425,0,0
292.0232901,52.5,0,-13.69882653,-2.869145316,0,0
294.0074598,52.5,0,-24.22719297,-3.168081995,0,0
296.0074598,52.5,0,-25.5696103,-2.972746707,0,0
298.0075098,52.5,0,-30.17140123,-2.528361478,0,0
300.0075799,52.5,0,-34.77345639,-2.019193,0,0
302.0101399,52.5,0,-37.28390242,-1.791753848,0,0
304.0077399,52.5,0,-34.81645571,-1.94977034,0,0
306.0079199,52.5,0,-33.23750627,-1.914007269,0,0
308.0084897,52.5,0,-40.38849061,-1.722442662,0,0
310.0077599,52.5,0,-34.78735594,2.816083918,0,0
312.0078298,52.5,-12,-26.08011426,5.687033105,0,-12
314.0087099,52.5,-5,-10.2233303,5.091526753,0,7
316.01043,52.5,14,3.576659714,4.837401971,0,19
318.0095099,52.5,19,8.697666471,4.930763772,0,5
320.0097001,52.5,37,15.3402998,3.905999338,0,18
322.0096901,52.5,54,8.693738467,3.220339798,0,17
324.01203,52.5,59,-2.55399169,3.767418823,0,5
326.0097298,52.5,59,-9.727638731,5.066009037,0,0
328.01249,52.5,58,-14.80994154,6.150390265,0,-1
330.0102298,52.5,58,-23.03867437,7.037588128,0,0
332.0096998,52.5,54,-13.29974063,8.48896773,0,-4
334.0098099,52.5,62,-4.602268349,8.615731149,0,8
336.0099999,52.5,74,7.158821398,8.277601118,0,12
338.0099497,52.5,80,-0.511420683,8.647179623,0,6
340.0097201,52.5,81,1.534369924,9.439833035,0,1
342.0101901,52.5,89,-7.157819169,9.521196223,0,8
344.0101,52.5,103,-2.045663973,9.040704958,0,14
346.01007,52.5,110,0.511415511,9.244212869,0,7
348.0128399,52.5,115,2.553413478,9.729781538,0,5
350.0101901,52.5,123,0.512056488,10.07634942,0,8
352.01026,52.5,127,1.022750163,10.34689035,0,4
354.0106499,52.5,133,0,10.60968704,0,6
356.0109,52.5,141,-3.067944239,10.69037967,0,8
358.01027,52.5,148,6.650188325,10.83632174,0,7
360.0103501,52.5,153,-1.022744927,11.13779093,0,5
362.01234,52.5,162,-3.065307896,11.36995491,0,9
364.0103099,52.5,166,1.535722772,11.60384012,0,4
366.0169098,52.5,173,0.509725773,11.88485021,0,7
