0,BE,MM,Depth,Pitch
1,340,49,0.065000,7.361567
2,334,48,0.065000,7.720254
3,344,47,0.050000,8.100671
4,339,46,0.050000,8.466393
5,349,45,0.034000,8.804399
6,359,44,0.023000,9.077736
7,349,43,0.023000,9.181565
8,359,42,0.008000,9.223401
9,368,41,0.008000,9.203011
10,358,40,0.002000,8.979899
11,368,39,0.002000,8.610972
12,362,38,0.006000,8.304375
13,352,37,0.013000,7.918490
14,342,36,0.013000,7.840779
15,332,35,0.020000,7.777873
16,342,34,0.023000,7.925567
17,352,33,0.023000,8.061290
18,362,32,0.021000,8.324314
19,372,31,0.021000,8.616968
20,382,30,0.020000,8.752852
21,392,29,0.014000,8.947178
22,395,28,0.014000,9.064448
23,398,27,0.016000,8.991509
24,401,26,0.017000,8.838993
25,391,25,0.017000,8.667265
26,381,24,0.023000,8.406688
27,391,23,0.023000,8.260430
28,382,22,0.028000,7.901938
29,372,21,0.035000,7.731253
30,382,20,0.035000,7.616406
31,373,20,0.039000,7.477852
32,383,20,0.039000,7.447908
33,393,20,0.044000,7.434275
34,403,20,0.044000,7.456151
35,413,20,0.045000,7.584221
36,423,20,0.042000,7.677597
37,433,20,0.042000,7.742039
38,443,20,0.041000,7.897038
39,453,20,0.039000,7.981357
40,450,20,0.039000,7.989009
41,453,20,0.041000,8.003008
42,460,20,0.041000,7.986832
43,450,20,0.045000,7.818743
44,442,20,0.049000,7.658207
45,452,20,0.049000,7.447489
46,442,20,0.058000,7.213598
47,452,20,0.058000,6.986372
48,442,20,0.068000,6.739056
49,432,20,0.083000,6.441104
50,442,20,0.083000,6.191902
51,432,20,0.096000,5.913727
52,422,20,0.112000,5.724915
53,432,20,0.112000,5.425182
54,422,20,0.130000,5.100421
55,432,20,0.130000,4.689995
56,429,20,0.148000,4.284029
57,419,20,0.171000,3.850013
58,429,20,0.171000,3.445937
59,419,20,0.192000,2.937068
60,429,20,0.192000,2.502284
61,422,20,0.218000,2.051175
62,429,20,0.218000,1.504218
63,419,20,0.245000,0.973584
64,409,20,0.274000,0.479997
65,419,20,0.274000,-0.138542
66,409,20,0.304000,-0.752606
67,399,20,0.335000,-1.362229
68,409,20,0.335000,-2.005746
69,399,20,0.368000,-2.623092
70,409,20,0.368000,-3.229521
71,414,20,0.399000,-3.907982
72,404,20,0.432000,-4.514992
73,414,20,0.432000,-5.106535
74,404,20,0.465000,-5.736432
