0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_acc_filtered,,
285,317,41,1.880534,14.671487,-0.025375,-25.375,7,32.398,-25.36158621,-0.00041486,,
286,302,41,1.883302,14.522446,0.002768,2.768,-15,28.143,-24.51769862,0.843887586,,
287,315,41,1.837977,14.270882,-0.045325,-45.325,13,-48.093,-25.14191766,-0.624219041,,
288,302,41,1.818961,14.056764,-0.019016,-19.016,-13,26.309,-24.95814013,0.18377753,,
289,305,42,1.79924,13.827015,-0.019721,-19.721,3,-0.705,-24.80102593,0.157114204,,
290,304,42,1.804071,13.567924,0.004831,4.831,-1,24.552,-23.91206515,0.888960778,,
291,309,42,1.759615,13.270899,-0.044456,-44.456,5,-49.287,-24.5283832,-0.616318045,,
292,308,42,1.73976,13.049084,-0.019855,-19.855,-1,24.601,-24.3881817,0.140201496,,
293,295,42,1.742765,12.888336,0.003005,3.005,-13,22.86,-23.56638625,0.821795451,,
294,307,43,1.690424,12.746274,-0.052341,-52.341,12,-55.346,-24.42962466,-0.863238413,,
295,302,43,1.662114,12.70939,-0.02831,-28.31,-5,24.031,-24.54603592,-0.11641126,,
296,312,43,1.628484,12.743047,-0.03363,-33.63,10,-5.32,-24.81855484,-0.272518922,,
297,316,43,1.62658,12.844819,-0.001904,-1.904,4,31.726,-24.1311182,0.687436645,,
298,314,43,1.589261,13.10989,-0.037319,-37.319,-2,-35.415,-24.52675465,-0.395636454,,
299,322,44,1.50236,13.391631,-0.086901,-86.901,8,-49.582,-26.39798201,-1.87122736,,
300,327,44,1.454709,13.748221,-0.047651,-47.651,5,39.25,-27.03557255,-0.63759054,,
301,332,43,1.447466,14.137101,-0.007243,-7.243,5,40.408,-26.44179538,0.593777177,,
302,337,43,1.351679,14.717567,-0.095787,-95.787,5,-88.544,-28.52215151,-2.080356139,,
303,335,43,1.298445,15.161629,-0.053234,-53.234,-2,42.553,-29.26350697,-0.741355455,,
304,342,43,1.246089,15.667387,-0.052356,-52.356,7,0.878,-29.95628176,-0.692774791,,
305,347,42,1.238587,16.073826,-0.007502,-7.502,5,44.854,-29.28265331,0.673628453,,
306,352,42,1.144819,16.549917,-0.093768,-93.768,5,-86.266,-31.21721371,-1.934560401,,
307,357,42,1.098247,16.853052,-0.046572,-46.572,5,47.196,-31.6778573,-0.460643589,,
308,344,42,1.093754,17.09786,-0.004493,-4.493,-13,42.079,-30.86231158,0.815545719,,
309,357,42,1.01471,17.318487,-0.079044,-79.044,13,-74.551,-32.30776223,-1.445450653,,
310,342,41,1.013691,17.396257,-0.001019,-1.019,-15,78.025,-31.36909936,0.938662867,,
311,355,41,0.943373,17.391457,-0.070318,-70.318,13,-69.299,-32.53756638,-1.168467019,,
312,362,41,0.914109,17.29668,-0.029264,-29.264,7,41.054,-32.43935939,0.098206991,,
313,347,41,0.917253,17.125168,0.003144,3.144,-15,32.408,-31.37185861,1.067500782,,
314,360,41,0.865754,16.771044,-0.051499,-51.499,13,-54.643,-31.97567285,-0.603814242,,
315,347,40,0.848055,16.428394,-0.017699,-17.699,-13,33.8,-31.54737267,0.428300186,,
316,351,40,0.831736,16.011515,-0.016319,-16.319,4,1.38,-31.09052149,0.45685118,,
317,360,41,0.817319,15.546723,-0.014417,-14.417,9,1.902,-30.59031584,0.500205645,,
318,347,41,0.826422,15.054935,0.009103,9.103,-13,23.52,-29.39951637,1.190799475,,
319,360,41,0.798509,14.349843,-0.027913,-27.913,13,-37.016,-29.35492087,0.044595491,,
320,359,42,0.78697,13.841503,-0.011539,-11.539,-1,16.374,-28.82044325,0.534477626,,
321,349,42,0.794991,13.411397,0.008021,8.021,-10,19.56,-27.71519995,1.105243297,,
322,362,42,0.759242,12.916325,-0.035749,-35.749,13,-43.77,-27.95621395,-0.241014001,,
323,358,42,0.739879,12.615113,-0.019363,-19.363,-4,16.386,-27.69841753,0.257796419,,
324,367,42,0.719005,12.394871,-0.020874,-20.874,9,-1.511,-27.49368501,0.204732526,,
325,372,43,0.690027,12.28701,-0.028978,-28.978,5,-8.104,-27.53821446,-0.04452945,,
326,375,43,0.657295,12.326037,-0.032732,-32.732,3,-3.754,-27.69402802,-0.155813566,,
327,382,43,0.622263,12.487821,-0.035032,-35.032,7,-2.3,-27.91416718,-0.220139159,,
328,387,43,0.578701,12.731433,-0.043562,-43.562,5,-8.53,-28.38360217,-0.469434984,,
329,384,43,0.571189,13.133095,-0.007512,-7.512,-3,36.05,-27.7574541,0.626148065,,
330,392,44,0.52355,13.595829,-0.047639,-47.639,8,-40.127,-28.35390048,-0.596446377,,
331,397,43,0.423015,14.376436,-0.100535,-100.535,5,-52.896,-30.51933347,-2.165432986,,
332,402,43,0.366272,15.009074,-0.056743,-56.743,5,43.792,-31.30604346,-0.786709996,,
333,407,43,0.307688,15.634966,-0.058584,-58.584,5,-1.841,-32.12438216,-0.818338696,,
334,412,42,0.296218,16.25663,-0.01147,-11.47,5,47.114,-31.50475069,0.619631465,,
335,417,42,0.189115,17.078182,-0.107103,-107.103,5,-95.633,-33.77269817,-2.267947479,,
336,422,42,0.135365,17.610445,-0.05375,-53.75,5,53.353,-34.37201723,-0.599319055,,
337,427,42,0.08129,18.107317,-0.054075,-54.075,5,-0.325,-34.96310671,-0.591089483,,
338,432,42,0.032311,18.600302,-0.048979,-48.979,5,5.096,-35.38358351,-0.420476799,,
339,429,41,-0.009599,18.87047,-0.04191,-41.91,-3,7.069,-35.579376,-0.195792495,,
340,437,41,-0.052338,19.021383,-0.042739,-42.739,8,-0.829,-35.79416472,-0.21478872,,
341,442,41,-0.080186,19.068102,-0.027848,-27.848,5,14.891,-35.55577978,0.238384942,,
342,435,41,-0.078674,18.946512,0.001512,1.512,-7,29.36,-34.44374639,1.112033393,,
343,447,41,-0.126186,18.737635,-0.047512,-47.512,12,-49.024,-34.835794,-0.392047608,,
344,449,40,-0.141444,18.421995,-0.015258,-15.258,2,32.254,-34.24846018,0.58733382,,
345,455,40,-0.152604,17.99189,-0.01116,-11.16,6,4.098,-33.55580637,0.692653805,,
346,462,40,-0.156079,17.361521,-0.003475,-3.475,7,7.685,-32.65338218,0.902424191,,
347,450,40,-0.158294,16.828047,-0.002215,-2.215,-12,1.26,-31.74023071,0.913151465,,
348,459,40,-0.161315,16.231243,-0.003021,-3.021,9,-0.806,-30.87865379,0.861576921,,
349,456,40,-0.151096,15.447634,0.010219,10.219,-3,13.24,-29.64572418,1.232929614,,
350,465,40,-0.152747,14.902203,-0.001651,-1.651,9,-11.87,-28.80588245,0.839841725,,
351,470,40,-0.149498,14.350229,0.003249,3.249,5,4.9,-27.84423598,0.961646474,,
352,472,41,-0.142907,13.67394,0.006591,6.591,2,3.342,-26.8111789,1.033057079,,
353,477,41,-0.141848,13.242117,0.001059,1.059,5,-5.532,-25.97507353,0.836105367,,
354,481,41,-0.141223,12.887734,0.000625,0.625,4,-0.434,-25.17707133,0.798002206,,
355,486,41,-0.136058,12.611748,0.005165,5.165,5,4.54,-24.26680919,0.91026214,,
356,492,41,-0.147602,12.427266,-0.011544,-11.544,6,-16.709,-23.88512491,0.381684276,,
357,497,42,-0.159269,12.462847,-0.011667,-11.667,5,-0.123,-23.51858117,0.366543747,,
358,502,42,-0.171982,12.607709,-0.012713,-12.713,5,-1.046,-23.19441373,0.324167435,,
359,507,42,-0.192958,12.980491,-0.020976,-20.976,5,-8.263,-23.12786132,0.066552412,,
360,512,40,-0.216329,13.37498,-0.023371,-23.371,5,-2.395,-23.13515548,-0.00729416,,
361,517,40,-0.238979,13.892463,-0.02265,-22.65,5,0.721,-23.12060081,0.014554664,,
362,522,40,-0.269477,14.672054,-0.030498,-30.498,5,-7.848,-23.34192279,-0.221321976,,
363,527,40,-0.28999,15.131133,-0.020513,-20.513,5,9.985,-23.25705511,0.084867684,,
364,532,40,-0.295229,15.252041,-0.005239,-5.239,5,15.274,-22.71651345,0.540541653,,
365,526,40,-0.283017,15.024674,0.012212,12.212,-6,17.451,-21.66865805,1.047855404,,
366,517,40,-0.266162,14.762865,0.016855,16.855,-9,4.643,-20.51294831,1.155709741,,
367,510,40,-0.246945,14.589547,0.019217,19.217,-7,2.362,-19.32104986,1.191898449,,
368,505,39,-0.226833,14.475869,0.020112,20.112,-5,0.895,-18.13805836,1.182991496,,
369,509,39,-0.210555,14.407087,0.016278,16.278,4,-3.834,-17.10557661,1.032481751,,
370,512,39,-0.194272,14.338061,0.016283,16.283,3,0.005,-16.10391931,1.001657298,,
371,512,39,-0.176765,14.257054,0.017507,17.507,0,1.224,-15.09559173,1.008327579,,
372,513,39,-0.159252,14.229435,0.017513,17.513,1,0.006,-14.11733398,0.978257752,,
373,513,38,-0.140643,14.196697,0.018609,18.609,0,1.096,-13.13554396,0.981790019,,
374,513,38,-0.122232,14.174641,0.018411,18.411,0,-0.198,-12.18914764,0.946396319,,
375,513,38,-0.102496,14.13506,0.019736,19.736,0,1.325,-11.23139321,0.957754429,,
376,513,38,-0.083079,14.112649,0.019417,19.417,0,-0.319,-10.31194142,0.919451796,,
377,513,38,-0.06248,14.080476,0.020599,20.599,0,1.182,-9.384613176,0.927328243,,
378,520,37,-0.061547,14.030356,0.000933,0.933,7,-19.666,-9.07508478,0.309528395,,
379,508,37,-0.016914,13.942632,0.044633,44.633,-12,43.7,-7.463842237,1.611242543,,
380,512,37,0.007742,13.853733,0.024656,24.656,4,-19.977,-6.50024697,0.963595267,,
381,509,37,0.033637,13.75208,0.025895,25.895,-3,1.239,-5.528389561,0.971857409,,
382,502,37,0.061584,13.594019,0.027947,27.947,-7,2.052,-4.524127874,1.004261687,,
383,510,36,0.089283,13.449339,0.027699,27.699,8,-0.248,-3.557434038,0.966693836,,
384,500,36,0.119402,13.282308,0.030119,30.119,-10,2.42,-2.547141017,1.010293021,,
385,494,36,0.149972,13.091203,0.03057,30.57,-6,0.451,-1.553626786,0.99351423,,
386,488,36,0.18243,12.79936,0.032458,32.458,-6,1.888,-0.533277983,1.020348804,,
387,482,36,0.217704,12.571065,0.035274,35.274,-6,2.816,0.540940357,1.074218339,,
388,475,35,0.25008,12.284215,0.032376,32.376,-7,-2.898,1.495992146,0.955051789,,
389,467,35,0.284909,12.026746,0.034829,34.829,-8,2.453,2.495982382,0.999990236,,
390,460,35,0.320016,11.701557,0.035107,35.107,-7,0.278,3.47431291,0.978330529,,
391,452,35,0.357727,11.238347,0.037711,37.711,-8,2.604,4.501413523,1.027100613,,
392,445,35,0.393192,10.8951,0.035465,35.465,-7,-2.246,5.430321117,0.928907594,,
393,437,34,0.42822,10.522339,0.035028,35.028,-8,-0.437,6.318251484,0.887930366,,
394,430,34,0.462965,10.112074,0.034745,34.745,-7,-0.283,7.171053939,0.852802455,,
395,422,34,0.499495,9.555163,0.03653,36.53,-8,1.785,8.051822321,0.880768382,,
396,415,34,0.535515,9.078819,0.03602,36.02,-7,-0.51,8.890867652,0.83904533,,
397,407,34,0.568283,8.616399,0.032768,32.768,-8,-3.252,9.607181622,0.71631397,,
398,400,33,0.604069,7.995677,0.035786,35.786,-7,3.018,10.39254617,0.785364551,,
399,392,33,0.636919,7.477622,0.03285,32.85,-8,-2.936,11.06626979,0.673723615,,
400,385,33,0.66841,6.926557,0.031491,31.491,-7,-1.359,11.67901169,0.612741906,,
401,377,33,0.700678,6.178116,0.032268,32.268,-8,0.777,12.29668134,0.617669649,,
402,372,33,0.729153,5.629347,0.028475,28.475,-5,-3.793,12.7820309,0.48534956,,
403,367,32,0.754959,5.063704,0.025806,25.806,-5,-2.669,13.17274998,0.390719073,,
404,361,32,0.783024,4.380555,0.028065,28.065,-6,2.259,13.61951748,0.446767501,,
405,360,32,0.805372,3.787642,0.022348,22.348,-1,-5.717,13.88137195,0.261854476,,
406,353,32,0.831805,2.981994,0.026433,26.433,-7,4.085,14.25792079,0.376548841,,
407,351,32,0.851376,2.32613,0.019571,19.571,-2,-6.862,14.41731317,0.159392376,,
408,354,31,0.865664,1.737495,0.014288,14.288,3,-5.283,14.41343378,-0.003879395,,
409,350,31,0.883501,1.068334,0.017837,17.837,-4,3.549,14.51614076,0.102706987,,
410,350,32,0.90033,0.191239,0.016829,16.829,0,-1.008,14.58552654,0.069385777,,
411,351,32,0.91168,-0.452336,0.01135,11.35,1,-5.479,14.48846074,-0.097065796,,
412,350,33,0.920436,-1.065032,0.008756,8.756,-1,-2.594,14.31648692,-0.171973822,,
413,352,33,0.929234,-1.78432,0.008798,8.798,2,0.042,14.15093231,-0.165554608,,
414,356,33,0.930821,-2.284267,0.001587,1.587,4,-7.211,13.77401434,-0.376917969,,
415,356,33,0.929111,-2.716686,-0.00171,-1.71,0,-3.297,13.30949391,-0.46452043,,
416,359,33,0.922043,-3.182799,-0.007068,-7.068,3,-5.358,12.6981691,-0.611324817,,
417,365,34,0.908833,-3.380655,-0.01321,-13.21,6,-6.142,11.92092402,-0.777245073,,
418,372,34,0.889997,-3.493613,-0.018836,-18.836,7,-5.626,10.9982163,-0.922707721,,
419,377,34,0.863918,-3.489496,-0.026079,-26.079,5,-7.243,9.885899813,-1.112316489,,
420,382,34,0.833129,-3.343891,-0.030789,-30.789,5,-4.71,8.665652819,-1.220246994,,
