0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate
1,367,44,-0.084695,6.774596,0,0,0
2,367,44,-0.0985,7.499687,-0.013805,-13.805,0
3,377,44,-0.131149,8.270382,-0.032649,-32.649,10
4,377,44,-0.153819,8.569064,-0.02267,-22.67,0
5,357,44,-0.152844,8.096373,0.000975,0.975,-20
6,357,43,-0.128522,7.500795,0.024322,24.322,0
7,345,43,-0.099557,6.662449,0.028965,28.965,-12
8,345,43,-0.077572,6.191252,0.021985,21.985,0
9,340,43,-0.066156,6.012222,0.011416,11.416,-5
10,362,43,-0.058004,5.951845,0.008152,8.152,22
11,357,43,-0.057726,6.094457,0.000278,0.278,-5
12,372,42,-0.062709,6.303259,-0.004983,-4.983,15
13,372,42,-0.066834,6.467125,-0.004125,-4.125,0
14,382,42,-0.070371,6.705165,-0.003537,-3.537,10
15,381,42,-0.07147,6.710357,-0.001099,-1.099,-1
16,378,42,-0.065447,6.551716,0.006023,6.023,-3
17,375,42,-0.055771,6.306492,0.009676,9.676,-3
18,372,41,-0.044431,6.026633,0.01134,11.34,-3
19,370,41,-0.030311,5.705981,0.01412,14.12,-2
20,375,41,-0.016804,5.312941,0.013507,13.507,5
21,377,41,-0.005354,5.132414,0.01145,11.45,2
22,383,41,0.002211,4.94594,0.007565,7.565,6
23,385,40,0.010731,4.918733,0.00852,8.52,2
24,395,40,0.015672,4.869493,0.004941,4.941,10
25,397,40,0.019625,4.819641,0.003953,3.953,2
26,400,40,0.027834,4.704119,0.008209,8.209,3
27,400,40,0.03762,4.55849,0.009786,9.786,0
28,398,39,0.049718,4.344255,0.012098,12.098,-2
29,393,39,0.065939,4.019224,0.016221,16.221,-5
30,393,39,0.084731,3.66444,0.018792,18.792,0
31,385,39,0.111686,3.040393,0.026955,26.955,-8
32,391,39,0.134145,2.598996,0.022459,22.459,6
33,380,39,0.160163,2.076499,0.026018,26.018,-11
34,377,38,0.190539,1.431237,0.030376,30.376,-3
35,385,38,0.215197,0.979962,0.024658,24.658,8
36,380,38,0.23831,0.609213,0.023113,23.113,-5
37,388,38,0.259621,0.228228,0.021311,21.311,8
