Date Time Depth Depth_Rate BE Pitch MM
2023-06-12 16:02:47 0.001365 0 362 6.14212 44
2023-06-12 16:02:48 0.020398 0.019033 362 5.825973 44
2023-06-12 16:02:49 0.039912 0.019514 362 5.48487 44
2023-06-12 16:02:50 0.063908 0.023996 367 5.118732 44
2023-06-12 16:02:51 0.089855 0.025947 352 4.546213 44
2023-06-12 16:02:52 0.116877 0.027022 365 4.074704 44
2023-06-12 16:02:53 0.145275 0.028398 372 3.531606 43
2023-06-12 16:02:54 0.178681 0.033406 359 2.831892 43
2023-06-12 16:02:55 0.206582 0.027901 352 2.367556 43
2023-06-12 16:02:56 0.242112 0.03553 345 1.557774 43
2023-06-12 16:02:57 0.272277 0.030165 350 1.027882 43
2023-06-12 16:02:58 0.304282 0.032005 357 0.454323 42
2023-06-12 16:02:59 0.338754 0.034472 361 -0.299877 42
2023-06-12 16:03:00 0.370522 0.031768 367 -0.861075 42
2023-06-12 16:03:01 0.40015 0.029628 365 -1.415007 42
2023-06-12 16:03:02 0.435661 0.035511 364 -2.119464 42
2023-06-12 16:03:03 0.465192 0.029531 370 -2.616594 41
2023-06-12 16:03:04 0.493293 0.028101 377 -3.222884 41
2023-06-12 16:03:05 0.523733 0.03044 382 -3.636461 41
2023-06-12 16:03:06 0.551658 0.027925 387 -4.102631 41
2023-06-12 16:03:07 0.575747 0.024089 386 -4.473107 41
2023-06-12 16:03:08 0.600789 0.025042 386 -4.789022 40
2023-06-12 16:03:09 0.623325 0.022536 392 -5.130891 40
2023-06-12 16:03:10 0.646416 0.023091 397 -5.449684 40
2023-06-12 16:03:11 0.668432 0.022016 402 -5.659986 40
2023-06-12 16:03:12 0.68549 0.017058 407 -5.820128 40
2023-06-12 16:03:13 0.705097 0.0196069999999999 412 -5.956703 39
2023-06-12 16:03:14 0.719816 0.014719 409 -6.099179 39
2023-06-12 16:03:15 0.73497 0.015154 416 -6.159679 39
2023-06-12 16:03:16 0.750305 0.015335 422 -6.229634 39
2023-06-12 16:03:17 0.764237 0.0139320000000001 427 -6.226106 39
2023-06-12 16:03:18 0.778205 0.013968 432 -6.224412 38
2023-06-12 16:03:19 0.791857 0.013652 437 -6.195994 38
2023-06-12 16:03:20 0.805059 0.0132019999999999 438 -6.164343 38
2023-06-12 16:03:21 0.819664 0.014605 444 -6.143609 38
2023-06-12 16:03:22 0.83476 0.015096 450 -6.096266 38
2023-06-12 16:03:23 0.852381 0.0176210000000001 457 -6.076393 37
2023-06-12 16:03:24 0.871291 0.01891 462 -6.064114 37
2023-06-12 16:03:25 0.892384 0.0210929999999999 467 -6.12897 37
2023-06-12 16:03:26 0.914277 0.0218930000000001 472 -6.175767 37
2023-06-12 16:03:27 0.940353 0.026076 477 -6.28459 37
2023-06-12 16:03:28 0.967026 0.0266730000000001 480 -6.4772 36
2023-06-12 16:03:29 0.998509 0.0314829999999999 486 -6.659935 36
2023-06-12 16:03:30 1.030584 0.032075 491 -6.92626 36
2023-06-12 16:03:31 1.065651 0.035067 496 -7.192335 36
2023-06-12 16:03:32 1.104115 0.0384640000000001 502 -7.479449 36
2023-06-12 16:03:33 1.144961 0.0408459999999999 507 -7.892007 35
2023-06-12 16:03:34 1.18505 0.040089 511 -8.265135 35
2023-06-12 16:03:35 1.22798 0.0429300000000001 515 -8.630264 35
2023-06-12 16:03:36 1.273762 0.045782 519 -9.040676 35
2023-06-12 16:03:37 1.321797 0.0480350000000001 523 -9.623444 35
2023-06-12 16:03:38 1.368774 0.0469769999999998 528 -10.098256 34
2023-06-12 16:03:39 1.41758 0.0488060000000001 533 -10.707272 34
2023-06-12 16:03:40 1.464859 0.0472789999999999 540 -11.057012 34
2023-06-12 16:03:41 1.511427 0.0465680000000002 545 -11.512325 34
2023-06-12 16:03:42 1.555262 0.0438349999999998 549 -11.929321 34
2023-06-12 16:03:43 1.602888 0.0476260000000002 554 -12.38917 33
2023-06-12 16:03:44 1.644776 0.0418879999999999 555 -12.81039 33
2023-06-12 16:03:45 1.683839 0.0390630000000001 557 -13.027599 33
2023-06-12 16:03:46 1.717395 0.0335559999999999 558 -13.16435 33
2023-06-12 16:03:47 1.743745 0.0263500000000001 564 -13.164769 33
2023-06-12 16:03:48 1.766891 0.0231459999999999 558 -13.030381 32
2023-06-12 16:03:49 1.785291 0.0184 562 -12.784436 32
2023-06-12 16:03:50 1.800965 0.015674 561 -12.44663 32
2023-06-12 16:03:51 1.805407 0.00444200000000006 553 -11.830563 32
2023-06-12 16:03:52 1.810872 0.00546500000000005 561 -11.270216 32
2023-06-12 16:03:53 1.813075 0.00220299999999995 556 -10.59101 31
2023-06-12 16:03:54 1.810828 -0.00224699999999989 555 -9.836571 31
2023-06-12 16:03:55 1.806329 -0.00449900000000003 553 -8.912325 31
2023-06-12 16:03:56 1.801577 -0.00475200000000009 557 -8.134926 31
2023-06-12 16:03:57 1.794573 -0.00700400000000001 553 -7.083169 31
2023-06-12 16:03:58 1.792115 -0.00245800000000007 556 -6.272126 30
2023-06-12 16:03:59 1.790081 -0.00203399999999987 557 -5.484484 30
2023-06-12 16:04:00 1.79233 0.00224899999999995 553 -4.817317 30
2023-06-12 16:04:01 1.791521 -0.00080900000000006 558 -3.938773 30
2023-06-12 16:04:02 1.801956 0.010435 557 -3.387078 30
2023-06-12 16:04:03 1.816269 0.014313 555 -2.933642 29
2023-06-12 16:04:04 1.828687 0.012418 558 -2.381615 29
2023-06-12 16:04:05 1.852906 0.024219 558 -2.080073 29
2023-06-12 16:04:06 1.878976 0.02607 557 -1.875154 29
2023-06-12 16:04:07 1.908117 0.0291410000000001 561 -1.726119 29
2023-06-12 16:04:08 1.9408 0.032683 560 -1.657441 28
2023-06-12 16:04:09 1.975445 0.0346449999999998 559 -1.638932 28
2023-06-12 16:04:10 2.013674 0.0382290000000001 562 -1.650859 28
2023-06-12 16:04:11 2.052429 0.0387550000000001 561 -1.690237 28
2023-06-12 16:04:12 2.093307 0.0408779999999998 560 -1.736034 28
2023-06-12 16:04:13 2.131675 0.0383680000000002 564 -1.755173 27
2023-06-12 16:04:14 2.165399 0.0337239999999999 565 -1.636505 27
2023-06-12 16:04:15 2.190344 0.0249450000000002 570 -1.425154 27
2023-06-12 16:04:16 2.213253 0.0229089999999998 575 -1.107655 27
2023-06-12 16:04:17 2.240615 0.0273620000000001 578 -0.917994 27
2023-06-12 16:04:18 2.266409 0.0257939999999999 583 -0.750939 26
2023-06-12 16:04:19 2.291591 0.025182 586 -0.551961 26
2023-06-12 16:04:20 2.314125 0.0225340000000003 589 -0.267054 26
2023-06-12 16:04:21 2.338687 0.024562 592 -0.035798 26
2023-06-12 16:04:22 2.365006 0.026319 593 0.156033 26
2023-06-12 16:04:23 2.388571 0.0235650000000001 595 0.390577 25
2023-06-12 16:04:24 2.412307 0.023736 595 0.557249 25
2023-06-12 16:04:25 2.433698 0.0213909999999999 594 0.745363 25
2023-06-12 16:04:26 2.455077 0.021379 593 0.989366 25
2023-06-12 16:04:27 2.474872 0.0197949999999998 592 1.205357 25
2023-06-12 16:04:28 2.491581 0.0167090000000001 591 1.429069 24
2023-06-12 16:04:29 2.504833 0.013252 591 1.762875 24
2023-06-12 16:04:30 2.512793 0.00795999999999975 589 2.043669 24
2023-06-12 16:04:31 2.520957 0.00816400000000028 588 2.347989 24
2023-06-12 16:04:32 2.525275 0.00431800000000004 587 2.748768 24
2023-06-12 16:04:33 2.527565 0.0022899999999999 583 3.098876 23
2023-06-12 16:04:34 2.528822 0.00125699999999984 580 3.346421 23
2023-06-12 16:04:35 2.523465 -0.00535700000000006 575 3.890949 23
2023-06-12 16:04:36 2.520443 -0.00302199999999964 569 4.201851 23
2023-06-12 16:04:37 2.51624 -0.0042030000000004 564 4.473801 23
2023-06-12 16:04:38 2.514326 -0.00191399999999975 558 4.678419 22
2023-06-12 16:04:39 2.512735 -0.0015909999999999 553 4.866215 22
2023-06-12 16:04:40 2.513635 0.000899999999999679 548 4.923755 22
2023-06-12 16:04:41 2.519057 0.00542200000000026 545 4.849383 24
2023-06-12 16:04:42 2.528127 0.00906999999999991 541 4.63654 24
2023-06-12 16:04:43 2.543121 0.0149940000000002 540 4.375456 24
2023-06-12 16:04:44 2.553293 0.0101719999999998 537 4.105224 24
2023-06-12 16:04:45 2.568591 0.015298 537 3.723988 24
2023-06-12 16:04:46 2.580681 0.0120899999999997 539 3.405995 24
