0,BE,MM,Depth,Pitch
410,354,21,2.621000,12.955463
411,364,22,2.603000,12.351894
412,374,23,2.583000,11.645966
413,364,24,2.583000,10.998400
414,374,25,2.566000,10.313293
415,384,26,2.547000,9.638355
416,374,27,2.547000,8.993711
417,384,28,2.529000,8.298611
418,374,29,2.529000,7.645797
419,384,30,2.512000,6.870665
420,374,31,2.496000,6.229217
421,364,32,2.496000,5.630453
422,374,33,2.478000,4.856825
423,384,32,2.478000,4.199034
424,394,31,2.464000,3.486860
425,404,30,2.450000,2.655373
426,394,29,2.450000,1.918554
427,404,28,2.440000,1.240188
428,394,27,2.440000,0.290329
429,404,26,2.426000,-0.423237
430,394,25,2.417000,-1.279363
431,384,24,2.417000,-2.067674
432,394,23,2.410000,-2.931584
433,391,22,2.404000,-3.869587
434,381,21,2.404000,-4.731422
435,391,20,2.398000,-5.769499
436,381,20,2.398000,-6.667932
437,391,20,2.394000,-7.646200
438,401,20,2.390000,-8.629610
439,391,20,2.390000,-9.467319
440,401,20,2.386000,-10.474021
441,391,20,2.386000,-11.430607
442,401,20,2.383000,-12.420950
443,411,20,2.377000,-12.845673
444,401,20,2.377000,-14.257339
445,411,20,2.367000,-15.042787
446,401,20,2.367000,-15.421328
447,411,20,2.356000,-16.322832
448,421,21,2.341000,-17.227242
449,411,22,2.341000,-17.511860
450,421,23,2.323000,-18.076302
451,411,24,2.323000,-18.608274
452,421,25,2.301000,-19.013567
453,431,26,2.271000,-19.353725
454,421,27,2.271000,-19.660599
455,431,28,2.240000,-19.773180
456,421,29,2.240000,-20.023672
457,431,30,2.205000,-20.166164
458,441,31,2.165000,-20.211857
459,431,32,2.165000,-20.189629
460,441,33,2.122000,-20.205536
461,451,34,2.076000,-20.100723
462,441,35,2.076000,-19.975361
463,451,36,2.027000,-19.896149
464,441,37,2.027000,-19.730108
465,451,38,1.977000,-19.520956
466,461,39,1.925000,-19.369425
467,451,40,1.925000,-19.169479
468,461,41,1.875000,-18.971035
469,451,42,1.875000,-18.831585
470,461,43,1.823000,-18.685873
471,471,44,1.771000,-18.543173
472,461,45,1.771000,-18.428112
473,471,46,1.720000,-18.351929
474,461,47,1.673000,-18.266912
475,451,48,1.673000,-18.200441
476,461,49,1.625000,-18.216257
477,451,50,1.625000,-18.208992
478,461,51,1.579000,-18.182381
479,458,52,1.535000,-18.250683
480,448,53,1.535000,-18.280804
481,458,54,1.489000,-18.275707
482,448,55,1.489000,-18.333313
483,458,56,1.445000,-18.369165
484,468,57,1.399000,-18.342911
485,458,58,1.399000,-18.373697
486,468,59,1.352000,-18.391850
487,478,60,1.304000,-18.330187
488,468,61,1.304000,-18.294073
489,478,62,1.256000,-18.221554
490,468,63,1.256000,-18.095177
491,478,64,1.204000,-18.007837
492,488,65,1.151000,-17.821741
493,478,66,1.151000,-17.633562
494,488,67,1.097000,-17.374865
495,478,68,1.097000,-17.148972
496,488,68,1.043000,-16.905230
497,498,68,0.988000,-16.594902
498,488,68,0.988000,-16.368275
499,498,68,0.934000,-16.248030
500,508,68,0.878000,-15.746644
501,498,68,0.878000,-15.352918
502,508,68,0.822000,-14.772292
503,498,68,0.822000,-14.382304
504,508,68,0.765000,-13.305291
505,498,67,0.765000,-12.170894
506,508,66,0.703000,-10.837205
507,518,65,0.637000,-9.332564
508,508,64,0.637000,-7.808676
509,518,63,0.571000,-6.135406
510,508,62,0.571000,-4.713794
511,518,61,0.506000,-3.185493
512,508,60,0.452000,-1.990744
513,498,59,0.452000,-0.979834
514,508,58,0.408000,-0.536392
515,498,57,0.375000,0.328929
516,488,56,0.375000,0.596547
517,498,55,0.358000,0.543688
518,488,54,0.358000,0.278750
519,498,53,0.347000,-0.103046
520,488,52,0.348000,-0.620657
521,498,51,0.348000,-0.816895
522,488,50,0.352000,-1.288762
523,498,50,0.352000,-1.553655
524,488,50,0.356000,-1.673553
525,498,50,0.356000,-1.686956
526,508,50,0.356000,-1.609004
527,518,50,0.354000,-1.354898
528,508,50,0.354000,-1.070540
529,518,50,0.352000,-0.740541
530,528,50,0.345000,-0.350627
531,518,50,0.345000,-0.095950
532,518,50,0.346000,0.023449
533,508,50,0.352000,0.036339
534,518,50,0.352000,-0.134941
535,508,50,0.364000,-0.486425
536,498,50,0.382000,-1.058741
537,508,50,0.382000,-1.651836
538,498,51,0.408000,-2.101251
539,508,52,0.408000,-3.167083
