Date Time Depth Depth_Rate BE Pitch MM
2023-06-12 16:31:25 1.707091 0.0216189999999998 589 -8.319989 24
2023-06-12 16:31:26 1.69619 -0.0109009999999998 600 -7.74626 24
2023-06-12 16:31:27 1.708116 0.0119259999999999 600 -7.216761 25
2023-06-12 16:31:28 1.720721 0.012605 600 -6.723509 25
2023-06-12 16:31:29 1.757783 0.0370620000000001 597 -6.097474 25
2023-06-12 16:31:30 1.750415 -0.00736800000000004 600 -5.711417 25
2023-06-12 16:31:31 1.771501 0.0210859999999999 598 -5.401814 25
2023-06-12 16:31:32 1.824617 0.0531159999999999 587 -5.041553 26
2023-06-12 16:31:33 1.82042 -0.00419700000000001 600 -4.822018 26
2023-06-12 16:31:34 1.851157 0.030737 587 -4.65139 26
2023-06-12 16:31:35 1.883802 0.032645 585 -4.494678 26
2023-06-12 16:31:36 1.956539 0.0727370000000001 577 -4.409988 26
2023-06-12 16:31:37 1.955347 -0.00119200000000008 578 -4.34767 27
2023-06-12 16:31:38 1.993487 0.0381400000000001 575 -4.30274 27
2023-06-12 16:31:39 2.070822 0.0773350000000002 567 -4.267972 27
2023-06-12 16:31:40 2.07024 -0.000582000000000082 580 -4.237579 27
2023-06-12 16:31:41 2.1084 0.03816 567 -4.193666 27
2023-06-12 16:31:42 2.18455 0.0761500000000002 560 -4.097016 28
2023-06-12 16:31:43 2.182523 -0.002027 572 -3.991085 28
2023-06-12 16:31:44 2.217877 0.0353539999999999 557 -3.852898 28
2023-06-12 16:31:45 2.25307 0.035193 551 -3.706292 28
2023-06-12 16:31:46 2.31908 0.0660099999999999 546 -3.445748 28
2023-06-12 16:31:47 2.314825 -0.00425500000000012 545 -3.22361 29
2023-06-12 16:31:48 2.344146 0.0293209999999999 540 -2.979408 29
2023-06-12 16:31:49 2.373188 0.029042 535 -2.720722 29
2023-06-12 16:31:50 2.429359 0.056171 529 -2.364466 29
2023-06-12 16:31:51 2.423976 -0.00538299999999969 526 -2.083739 29
2023-06-12 16:31:52 2.449511 0.0255350000000001 522 -1.798765 30
2023-06-12 16:31:53 2.50088 0.0513689999999998 515 -1.400931 30
2023-06-12 16:31:54 2.49566 -0.00522 527 -1.128847 30
2023-06-12 16:31:55 2.520623 0.0249630000000001 512 -0.866324 29
2023-06-12 16:31:56 2.572184 0.051561 505 -0.530712 29
2023-06-12 16:31:57 2.567681 -0.00450300000000015 517 -0.296044 29
2023-06-12 16:31:58 2.592701 0.02502 502 -0.088623 29
2023-06-12 16:31:59 2.648819 0.0561180000000001 495 0.113681 29
2023-06-12 16:32:00 2.647478 -0.00134100000000004 507 0.183545 29
2023-06-12 16:32:01 2.677311 0.029833 492 0.192231 29
2023-06-12 16:32:02 2.711147 0.033836 485 0.119392 29
2023-06-12 16:32:03 2.781899 0.0707520000000002 477 0.005282 29
2023-06-12 16:32:04 2.784921 0.00302200000000008 470 -0.152245 29
2023-06-12 16:32:05 2.825002 0.0400809999999998 462 -0.364921 29
2023-06-12 16:32:06 2.865692 0.0406900000000001 455 -0.609323 29
2023-06-12 16:32:07 2.908358 0.0426660000000001 458 -0.904625 29
2023-06-12 16:32:08 2.990581 0.0822229999999999 447 -1.333219 30
2023-06-12 16:32:09 2.996431 0.00584999999999969 450 -1.638229 30
2023-06-12 16:32:10 3.038624 0.0421930000000002 440 -1.961125 30
2023-06-12 16:32:11 3.077345 0.0387210000000002 432 -2.207285 30
2023-06-12 16:32:12 3.147684 0.0703389999999997 426 -2.485779 30
2023-06-12 16:32:13 3.150399 0.00271500000000024 420 -2.627378 31
2023-06-12 16:32:14 3.181118 0.0307189999999999 414 -2.717094 31
2023-06-12 16:32:15 3.233198 0.0520799999999997 407 -2.721269 31
2023-06-12 16:32:16 3.253833 0.0206350000000004 420 -2.650021 31
2023-06-12 16:32:17 3.251339 -0.002494 410 -2.519935 31
2023-06-12 16:32:18 3.265269 0.0139299999999998 412 -2.307623 32
2023-06-12 16:32:19 3.276435 0.0111660000000002 422 -2.055529 32
2023-06-12 16:32:20 3.293751 0.0173159999999997 415 -1.602729 32
2023-06-12 16:32:21 3.293174 -0.000576999999999828 412 -1.155642 32
2023-06-12 16:32:22 3.284081 -0.00909300000000002 424 -0.681712 31
2023-06-12 16:32:23 3.283747 -0.000334000000000056 425 -0.19528 31
2023-06-12 16:32:24 3.280926 -0.00282099999999996 432 0.524987 31
2023-06-12 16:32:25 3.274384 -0.00654200000000005 431 1.074445 30
2023-06-12 16:32:26 3.268634 -0.00574999999999992 427 1.582699 30
2023-06-12 16:32:27 3.260519 -0.00811500000000009 433 2.005782 30
2023-06-12 16:32:28 3.258629 -0.00188999999999995 431 2.480556 30
2023-06-12 16:32:29 3.25787 -0.000758999999999954 429 2.717687 30
2023-06-12 16:32:30 3.262933 0.00506299999999982 426 2.870926 30
2023-06-12 16:32:31 3.27309 0.010157 420 2.914921 29
2023-06-12 16:32:32 3.306721 0.0336310000000002 412 2.777628 29
2023-06-12 16:32:33 3.330758 0.0240369999999999 405 2.567015 29
2023-06-12 16:32:34 3.337586 0.00682800000000006 399 2.210882 29
2023-06-12 16:32:35 3.370714 0.033128 392 1.7349 29
2023-06-12 16:32:36 3.407909 0.0371950000000001 385 1.151342 28
2023-06-12 16:32:37 3.482909 0.0749999999999997 377 0.213197 29
2023-06-12 16:32:38 3.528569 0.0456600000000003 370 -0.550772 29
2023-06-12 16:32:39 3.545196 0.0166269999999997 362 -1.417419 30
2023-06-12 16:32:40 3.595389 0.0501930000000002 355 -2.313874 30
2023-06-12 16:32:41 3.679796 0.0844070000000001 347 -3.430922 30
2023-06-12 16:32:42 3.721911 0.0421149999999999 340 -4.220369 30
2023-06-12 16:32:43 3.735622 0.0137110000000003 332 -4.937176 30
2023-06-12 16:32:44 3.77532 0.0396979999999996 325 -5.549348 31
2023-06-12 16:32:45 3.82599 0.0506700000000002 317 -6.213127 31
2023-06-12 16:32:46 3.831832 0.0058419999999999 318 -6.519497 31
2023-06-12 16:32:47 3.847574 0.0157419999999999 310 -6.715756 31
2023-06-12 16:32:48 3.853451 0.00587700000000035 312 -6.709332 31
2023-06-12 16:32:49 3.849687 -0.00376400000000032 322 -6.511868 32
2023-06-12 16:32:50 3.839192 -0.0104949999999997 317 -6.171308 32
2023-06-12 16:32:51 3.799381 -0.0398110000000003 327 -5.500177 32
2023-06-12 16:32:52 3.763284 -0.0360969999999998 332 -4.814897 32
2023-06-12 16:32:53 3.748556 -0.0147279999999999 337 -4.045091 32
2023-06-12 16:32:54 3.706995 -0.0415610000000002 342 -3.18032 33
2023-06-12 16:32:55 3.620804 -0.0861909999999999 347 -1.866198 33
2023-06-12 16:32:56 3.567624 -0.0531800000000002 352 -0.866369 33
2023-06-12 16:32:57 3.547142 -0.0204819999999999 357 0.201062 33
2023-06-12 16:32:58 3.451873 -0.0952690000000001 362 1.518063 33
2023-06-12 16:32:59 3.400972 -0.0509010000000001 366 2.399393 34
2023-06-12 16:33:00 3.383265 -0.0177069999999997 362 3.323328 34
2023-06-12 16:33:01 3.29998 -0.0832850000000001 372 4.330566 34
2023-06-12 16:33:02 3.258363 -0.041617 357 5.042584 34
2023-06-12 16:33:03 3.247397 -0.0109660000000003 350 5.616534 34
2023-06-12 16:33:04 3.194006 -0.053391 362 6.213321 35
2023-06-12 16:33:05 3.172759 -0.0212469999999998 347 6.540953 35
2023-06-12 16:33:06 3.16881 -0.00394899999999998 340 6.748144 35
2023-06-12 16:33:07 3.137863 -0.0309470000000003 350 6.902772 35
2023-06-12 16:33:08 3.137581 -0.000281999999999893 337 6.91761 35
2023-06-12 16:33:09 3.127832 -0.00974899999999979 330 6.851934 36
2023-06-12 16:33:10 3.11339 -0.0144420000000003 331 6.665214 36
