Index,Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage
1.6971E+18,1.300169984,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.142024975,-0.002857883,4.455964514,3.948531143,0.927817421,-0.003663319,-6.886671565,107.6107275,-1,-0.185267838,9.496568197,-0.004313632,21.09709167,3326,61.40000153,35.20000076,-2.578125,0.083494792,108.9243044,109,0,0,0,155,-0.056087527
1.6971E+18,1.400189952,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.142024975,-0.002058746,4.451988182,3.932880795,0.952922342,-0.057462157,-6.886671588,107.6107274,-1,-0.185267838,9.496568197,-0.004313632,21.09709167,3326,61.40000153,35.20000076,-2.578125,0.083494792,108.9243044,109,0,0,0,155,-0.057688087
1.6971E+18,1.500169984,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.137933831,0.000117243,4.455464803,3.903578516,0.978330399,0.012373078,-6.886671614,107.6107273,-1,-0.185267838,9.496568197,-0.004313632,21.09709167,3326,61.40000153,35.20000076,-2.578125,0.083494792,108.9243044,109,0,0,0,155,-0.053009506
1.6971E+18,1.600620032,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.138956528,-0.002593556,4.463674584,3.860972822,0.99685857,0.081015892,-6.886671641,107.6107271,-1,-0.185267838,9.496568197,-0.004313632,21.09709167,3326,61.40000153,35.20000076,-2.578125,0.083494792,108.4593899,109,0,0,0,155,-0.058446482
1.6971E+18,1.700229888,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.137933831,-3.19702E-05,4.47740681,3.805463054,1.010315849,0.161485453,-6.88667167,107.610727,-1,-0.185267838,9.496568197,-0.004313632,21.10083008,3320,61.40000153,35.20000076,-2.578125,0.083494792,108.4593899,109,0,0,0,165,-0.056812391
1.6971E+18,1.799990016,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.138956528,-0.00202138,4.487624404,3.744245477,1.014026416,0.044145125,-6.886671572,107.6107293,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.40000153,35.20000076,-2.578125,0.083494792,108.4593899,109,0,0,0,165,-0.054252312
1.6971E+18,1.905689856,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.145093303,-0.004987403,4.486478486,3.679749882,1.011680764,-0.032615614,-6.886671462,107.6107307,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.40000153,35.20000076,-2.578125,0.083494792,108.4593899,109,0,0,0,165,-0.050038967
1.6971E+18,2.000389888,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.142024975,-0.004987403,4.558541071,3.610443395,0.999492089,-0.106308746,-6.886671015,107.6107314,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.40000153,35.20000076,-2.08984375,0.083494792,108.4593899,109,0,0,0,165,-0.049763985
1.6971E+18,2.100009984,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.146116118,-0.005794448,4.566940912,3.564315166,0.992203677,-0.103363448,-6.886671039,107.6107316,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,108.6332694,109,0,0,0,165,-0.042548288
1.6971E+18,2.20016,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.143047671,-0.004139408,4.572882774,3.526222032,0.992692497,-0.088263856,-6.88667083,107.6107319,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,108.6332694,109,0,0,0,172.5,-0.04860634
1.6971E+18,2.300029952,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.141002159,-0.002060982,4.593308137,3.501747515,0.998308052,0.043310058,-6.886670885,107.6107324,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,108.6332694,109,0,0,0,172.5,-0.05136526
1.6971E+18,2.400199936,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.147138815,-0.004569241,4.614832437,3.489328204,1.009239228,0.129118667,-6.886670796,107.6107323,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,108.6332694,109,0,0,0,172.5,-0.054228093
1.6971E+18,2.50020992,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.144070487,-0.002973343,4.634703421,3.48561689,1.02737126,0.116120271,-6.886670908,107.6107325,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,108.6332694,109,0,0,0,172.5,-0.056951854
1.6971E+18,2.604679936,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.144070487,-0.002857029,4.661709592,3.475965208,1.046979681,0.119775181,-6.886670653,107.6107324,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.29999924,35.10000229,-2.08984375,0.009437161,106.6401813,109,0,0,0,172.5,-0.059924159
1.6971E+18,2.699990016,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.143047671,-0.004119986,4.683359034,3.459898648,1.06574735,0.144525352,-6.886670707,107.6107324,0,-0.24683293,9.506102311,0.000391889,21.08128929,3426,61.29999924,35.10000229,-2.08984375,0.009437161,106.6401813,107,0,0,0,182.5,-0.060335763
1.6971E+18,2.800219904,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.146116118,-0.004849269,4.700315891,3.437487468,1.083935973,0.142858048,-6.886670463,107.6107323,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-2.08984375,0.009437161,106.6401813,107,0,0,0,182.5,-0.060793206
1.6971E+18,2.900109824,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.141002159,-0.002114851,4.720067285,3.386602162,1.10691755,0.113497642,-6.886670348,107.6107321,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-2.08984375,0.009437161,106.6401813,107,0,0,0,182.5,-0.061010994
1.6971E+18,3.00016,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.144070487,-0.002979267,4.724896543,3.358262787,1.100920805,0.133808542,-6.886670138,107.6107319,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.009437161,106.6401813,107,0,0,0,182.5,-0.061559249
1.6971E+18,3.10032,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.139979343,-0.001581494,4.742600403,3.307790917,1.116263318,0.143911285,-6.886670055,107.6107317,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,106.52241,107,0,0,0,182.5,-0.055672277
1.6971E+18,3.200279808,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.144070487,-0.004197382,4.745766948,3.267155877,1.132438042,0.084328533,-6.886669908,107.6107315,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,106.52241,107,0,0,0,190,-0.062267344
1.6971E+18,3.300019968,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.145093303,-0.004726692,4.743915882,3.227846139,1.1561111,0.062813368,-6.886669753,107.6107314,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,106.52241,107,0,0,0,190,-0.063817538
1.6971E+18,3.400129792,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.141002159,-0.004797221,4.73489973,3.204461804,1.182467861,-0.037198242,-6.886669744,107.6107312,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,106.52241,107,0,0,0,190,-0.069633469
1.6971E+18,3.500189952,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.142024975,-0.004761635,4.734297941,3.195647672,1.19856923,0.040363742,-6.886669769,107.610731,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,106.52241,107,0,0,0,190,-0.068250686
1.6971E+18,3.600019968,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.145093303,-0.006057679,4.752772297,3.199741885,1.203115531,0.214551015,-6.886669774,107.6107309,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.016164468,104.3487215,107,0,0,0,190,-0.065192834
1.6971E+18,3.700140032,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.145093303,-0.005682028,4.770440708,3.207430172,1.200705173,0.129994135,-6.886669759,107.6107307,0,-0.267448128,9.464683104,-0.051507654,21.08919144,3440,61.29999924,35.10000229,-1.2109375,0.016164468,104.3487215,105,0,0,0,200,-0.059513494
1.6971E+18,3.800129792,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.141002159,-6.03701E-06,4.777795855,3.208532953,1.200378333,0.040811603,-6.886669704,107.6107306,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.2109375,0.016164468,104.3487215,105,0,0,0,200,-0.059676807
1.6971E+18,3.900169984,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.139979343,-0.000732088,4.771973155,3.216070687,1.198052221,-0.073129289,-6.886669647,107.6107304,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.2109375,0.016164468,104.3487215,105,0,0,0,200,-0.058605406
1.6971E+18,4.000189952,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.138956528,-0.000732088,4.759361647,3.213412395,1.173007842,-0.112964657,-6.886669662,107.6107303,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.016164468,104.3487215,105,0,0,0,200,-0.060132664
1.6971E+18,4.107899904,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.141002159,-0.000444819,4.737178754,3.194022117,1.184235855,-0.205438632,-6.886669609,107.6107301,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,102.7616363,105,0,0,0,200,-0.053770538
1.6971E+18,4.200229888,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.144070487,-0.003126975,4.732088109,3.171779642,1.202139387,-0.008068766,-6.886669571,107.61073,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,102.7616363,103,0,0,0,207.5,-0.067268379
1.6971E+18,4.300119808,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.138956528,-0.000519241,4.733883224,3.14771365,1.219542567,0.00230431,-6.88666943,107.6107298,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,102.7616363,103,0,0,0,207.5,-0.063306078
1.6971E+18,4.400169984,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.144070487,-0.001689974,4.737041653,3.12156318,1.240649694,0.084797045,-6.8866694,107.6107296,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,102.7616363,103,0,0,0,207.5,-0.069067925
1.6971E+18,4.500189952,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.144070487,-0.001642847,4.734019043,3.113162698,1.257375167,0.014768997,-6.886669328,107.6107295,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,102.7616363,103,0,0,0,207.5,-0.071564309
1.6971E+18,4.600150016,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.142024975,-0.001073423,4.730489461,3.118029327,1.261881108,-0.025920654,-6.886669303,107.6107293,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.11328283,100.3953929,103,0,0,0,207.5,-0.067479342
1.6971E+18,4.702619904,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.139979343,9.89407E-05,4.718818008,3.140652564,1.256560147,-0.06166687,-6.886669307,107.6107292,0,0.060509092,0.096677397,-0.054829438,21.09709167,3452,61.29999924,35.10000229,-1.30859375,0.11328283,100.3953929,101,0,0,0,217.5,-0.060699623
