Time,BE,MM,depth_rate,Pitch,be_rate,mm_rate,pitch
156.0060897,-297.5,0,-100.5732889,17.83758345,-2.5,0,17.83758345
158.0027699,-297.5,0,-94.76489225,17.50006247,0,0,17.50006247
160.0032297,-295,0,-97.65308283,16.35529908,2.5,0,16.35529908
162.00286,-275,0,-87.46503151,14.93924306,20,0,14.93924306
164.0032399,-260,0,-80.78423449,13.84120136,15,0,13.84120136
166.0034798,-225,0,-85.90360853,13.00405659,35,0,13.00405659
168.0032899,-187.5,0,-77.22758096,12.1032384,37.5,0,12.1032384
170.0057201,-150,0,-66.4003035,10.18675564,37.5,0,10.18675564
172.00317,-110,0,-45.57202145,7.211896265,40,0,7.211896265
174.0038597,-72.5,0,-29.65052759,3.84709239,37.5,0,3.84709239
176.0035699,-60,0,-24.55038724,0.981113832,12.5,0,0.981113832
178.00429,-47.5,0,-19.93712037,-0.455662519,12.5,0,-0.455662519
180.00369,-40,0,-28.64656289,-0.554351047,7.5,0,-0.554351047
182.0039798,-27.5,0,-35.28095312,0.213732164,12.5,0,0.213732164
184.0037701,-10,0,-40.40422663,1.013374549,17.5,0,1.013374549
186.0043,15,0,-32.20917707,1.245360537,25,0,1.245360537
188.0037,37.5,0,-29.6696632,0.575229674,22.5,0,0.575229674
190.0038198,77.5,0,-18.40901366,-1.086887043,40,0,-1.086887043
192.00432,105,0,-14.31540727,-3.35430119,27.5,0,-3.35430119
194.00415,125,0,-3.068618514,-5.685400289,20,0,-5.685400289
196.00418,147.5,0,-3.579682147,-7.676254127,22.5,0,-7.676254127
198.0039498,157.5,0,-5.625969853,-9.210821929,10,0,-9.210821929
200.0082199,170,0,0.510303433,-9.936661003,12.5,0,-9.936661003
202.0042801,180,0,-1.024804685,-9.308211743,10,0,-9.308211743
204.0041101,190,0,3.068618514,-8.922867145,10,0,-8.922867145
206.0042798,190,0,11.76102488,-9.24823362,0,0,-9.24823362
208.0042601,190,0,19.94449186,-10.23409236,0,0,-10.23409236
210.0043899,190,0,24.03387919,-11.42688437,0,0,-11.42688437
212.0043702,182.5,0,25.56986976,-12.23504164,-7.5,0,-12.23504164
214.00416,165,0,21.99217821,-12.40537216,-17.5,0,-12.40537216
216.0042598,155,0,17.89783747,-11.61552994,-10,0,-11.61552994
218.0045699,132.5,0,12.27151374,-10.05357542,-22.5,0,-10.05357542
220.0044401,122.5,0,10.73993405,-8.059606715,-10,0,-8.059606715
222.0046799,110,0,3.067982294,-6.301224374,-12.5,0,-6.301224374
224.0045199,90,0,5.625765072,-4.843880274,-20,0,-4.843880274
226.00705,77.5,0,2.55373422,-3.884704392,-12.5,0,-3.884704392
228.0049997,62.5,0,2.04766352,-3.302105744,-15,0,-3.302105744
230.0049298,57.5,0,-1.022814193,-3.020660869,-5,0,-3.020660869
232.0063299,57.5,0,-5.621379865,-3.020582709,0,0,-3.020582709
234.0053901,57.5,0,-8.69775969,-3.048592573,0,0,-3.048592573
236.00913,57.5,0,-10.71919269,-3.114205044,0,0,-3.114205044
238.00705,57.5,0,-19.45314105,-3.220971484,0,0,-3.220971484
240.00542,65,0,-15.35427209,-3.249832779,7.5,0,-3.249832779
242.00691,72.5,0,-22.99552225,-3.413029822,7.5,0,-3.413029822
244.0061197,87.5,0,-15.85943321,-3.637060048,15,0,-3.637060048
246.0060298,105,0,-15.85387886,-4.395206927,17.5,0,-4.395206927
248.0061699,127.5,0,-13.29525604,-5.563407187,22.5,0,-5.563407187
250.00605,150,0,-8.694200985,-7.128566266,22.5,0,-7.128566266
252.0065498,160,0,-1.022530417,-8.860615978,10,0,-8.860615978
254.00703,175,0,5.623971988,-10.88371996,15,0,-10.88371996
256.0067999,192.5,0,3.068710829,-12.06567039,17.5,0,-12.06567039
258.0066499,197.5,0,9.205748722,-12.58982186,5,0,-12.58982186
260.0062098,197.5,0,8.695578572,-12.54694838,0,0,-12.54694838
262.00722,197.5,0,18.4008224,-12.25270065,0,0,-12.25270065
264.0100897,195,0,14.80913135,-11.79709072,-2.5,0,-11.79709072
266.0069402,185,0,17.92696949,-11.1897173,-10,0,-11.1897173
268.0092099,177.5,0,20.94330627,-10.79257098,-7.5,0,-10.79257098
270.01056,155,0,21.97503981,-10.28067054,-22.5,0,-10.28067054
272.0069499,142.5,0,23.05426724,-9.654952178,-12.5,0,-9.654952178
274.00718,120,0,17.38533369,-8.514383796,-22.5,0,-8.514383796
276.0069097,102.5,0,9.717768424,-7.084922711,-17.5,0,-7.084922711
278.0070098,80,0,2.556833066,-5.459736819,-22.5,0,-5.459736819
280.0072,67.5,0,0,-3.831622707,-12.5,0,-3.831622707
282.00735,57.5,0,-4.090833038,-2.517501308,-10,0,-2.517501308
284.0187802,52.5,0,-7.118805651,-1.621855019,-5,0,-1.621855019
286.00881,52.5,0,-9.765134951,-1.436651584,0,0,-1.436651584
