Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,depth_rate,be_rate,mm_rate,pitch
13,-0.0113,-0.0105,0.0678,4.510000229,-2.349999905,7.199999809,0.091169972,0.034553137,3.953130192,-5.300349538,0.787285845,-0.15768143,-6.886664856,107.6107209,1,0.581413326,-1.042720846,-0.067730303,21.08913231,3466,61.40000153,35.20000076,-1.40625,0.015425304,141.107914,141,0,0,0,367.5,-0.037053686,34.553137,17.5,10,-5.300349538
14,-0.0244,0.0061,0.066399999,4.829999924,-3.480000019,7.400000095,0.141286392,0.038698509,3.940097133,-6.913524857,0.659562084,0.117653051,-6.886664709,107.6107202,1,0.651587848,-1.149894293,-0.038137063,21.06123161,3460,61.40000153,35.20000076,-2.67578125,0.025150944,153.8741119,153,0,0,0,387.5,-0.024812721,38.698509,20,12,-6.913524857
15,0.101800002,0.0017,0.046,4.679999828,-5.21999979,7.300000191,0.201630731,0.041253641,3.935007343,-8.685626612,0.434417197,-0.068884809,-6.886664669,107.6107196,1,0.702737079,-1.21622647,-0.010209543,21.09300041,3354,61.5,35.20000076,-1.6015625,0.101814196,165.8435828,165,0,0,0,405,-0.015638974,41.253641,17.5,12,-8.685626612
16,0.101800002,0.0017,0.046,4.679999828,-5.21999979,7.300000191,0.264020581,0.048235778,3.837105005,-10.02533193,0.149382999,-0.115288046,-6.88666486,107.6107192,-1,0.750741669,-1.313729061,0.019029223,21.10087013,3260,61.5,35.20000076,-2.1875,0.101814196,175.1191641,175,0,0,0,425,-0.005910564,48.235778,20,10,-10.02533193
17,0.029999999,0.0051,0.059900001,4.400000095,-6.900000095,7.199999809,0.316182513,0.045167547,3.748376848,-10.95531273,359.9774336,-0.273617486,-6.886665768,107.6107191,-1,0.719510911,-1.361027532,0.019040996,21.10090065,3226,61.5,35.20000076,-1.796875,0.030430412,183.5461181,183,0,0,0,442.5,-0.017857103,45.167547,17.5,8,-10.95531273
18,-0.052999999,-0.0023,0.071900003,4.349999905,-8.649999619,7,0.375504036,0.047511384,3.679139979,-11.65838207,359.6482975,-0.026813343,-6.886666987,107.6107188,-1,0.86998606,-1.344725603,0.080489865,21.10091019,3266,61.5,35.20000076,-1.50390625,0.053049882,188.4593649,188,0,0,0,462.5,0.032542624,47.511384,20,5,-11.65838207
19,-0.0155,-0.027100001,0.068000004,4.449999809,-9.010000229,7,0.430734415,0.051509783,3.63348861,-11.97364926,359.2572759,-0.136267136,-6.886668452,107.6107185,-1,0.882673009,-1.292467838,0.06501347,21.10884094,3280,61.5,35.20000076,-2.578125,0.031219545,189.650915,189,0,0,0,480,0.057426691,51.509783,17.5,1,-11.97364926
20,-0.0129,-0.051799998,0.073800005,4.599999905,-9.149999619,7.099999905,0.485964794,0.0532756,3.602203717,-12.14420786,358.9121764,-0.187893546,-6.886670301,107.6107181,-1,0.484099199,-1.39102399,0.100067635,21.08891106,3320,61.5,35.20000076,-1.50390625,0.053382111,189.3606253,189,0,0,0,500,0.065387897,53.2756,20,0,-12.14420786
21,0.033599999,0.010899999,0.052499998,4.349999905,-9.369999886,7.400000095,0.54937746,0.05841938,3.427157333,-12.25054293,358.6720691,-0.240222729,-6.886672475,107.6107175,-1,0.558568392,-1.320124173,0.164884826,21.09691048,3274,61.60000229,35.20000076,-1.9921875,0.035323787,188.55881,189,0,0,0,517.5,0.070380561,58.41938,17.5,0,-12.25054293
22,0.044299997,0.016700001,0.058900002,3.730000019,-9.430000305,7,0.615858455,0.060861118,3.132809025,-12.39365159,358.4662942,-0.257690402,-6.886674959,107.6107167,-1,0.598157281,-1.348668748,0.228137629,21.09289169,3260,61.60000229,35.20000076,-2.48046875,0.047343213,189.197269,189,0,0,0,537.5,0.095476471,60.861118,20,0,-12.39365159
23,0.044299997,0.016700001,0.058900002,3.730000019,-9.430000305,7,0.685407777,0.066268548,2.923678725,-12.67990138,358.3963449,-0.100094999,-6.886677775,107.6107159,-1,0.623755425,-1.463437243,0.275680766,21.10085106,3186,61.60000229,35.20000076,-1.6015625,0.047343213,189.9770849,189,0,0,0,555,0.085636012,66.268548,17.5,0,-12.67990138
24,0.222100005,-0.019200001,0.0427,3.579999924,-9.989999771,6.900000095,0.760071058,0.069436707,2.785528518,-13.01341698,358.4736198,-0.121526892,-6.886680914,107.6107149,-1,0.694003829,-1.397802433,0.34650383,21.10486984,3246,61.60000229,35.20000076,-2.08984375,0.222928356,191.1904133,191,0,0,0,567.5,0.072862543,69.436707,12.5,2,-13.01341698
25,0.222100005,-0.019200001,0.0427,3.579999924,-9.989999771,6.900000095,0.841893811,0.074592076,2.677867723,-13.56971568,358.7659635,0.037305575,-6.886684403,107.6107138,-1,0.795721156,-1.331824828,0.426661638,21.10091972,3246,61.60000229,35.20000076,-2.48046875,0.222928356,194.272122,194,0,0,0,577.5,0.051720589,74.592076,10,3,-13.56971568
26,0.130800009,0.0482,0.063699998,3.519999981,-11.23999977,338.2999878,0.92985328,0.078350395,2.651834279,-14.13793397,359.1783882,0.209171515,-6.88668827,107.6107126,-1,0.924483824,-1.282829505,0.515501007,21.1049099,3220,61.60000229,35.20000076,-1.89453125,0.139398287,197.474548,197,0,0,0,592.5,0.034394544,78.350395,15,3,-14.13793397
27,0.090400003,0.041900001,0.078400001,3.539999962,-11.76000023,6.900000095,1.012698848,0.080515221,2.620240804,-14.70523143,359.6409172,-0.041901388,-6.886692548,107.6107114,-1,1.19429899,-1.278999461,0.574222522,21.06924057,3506,61.70000076,35.20000076,-2.08984375,0.099638199,201.6680817,201,0,0,0,597.5,0.000120874,80.515221,5,4,-14.70523143
28,0.02,0.024,0.091300003,3.460000038,-12.51000023,6.199999809,1.111908962,0.088320874,2.589422521,-15.31113561,360.0706993,0.195194371,-6.886697285,107.6107101,-1,1.605829159,-1.286994083,0.6423703,21.22642136,1626,61.70000076,35.20000076,-1.9921875,0.031240999,206.1887864,206,0,0,0,605,-0.033167057,88.320874,7.5,5,-15.31113561
29,0.059900001,-0.224199995,0.114800006,3.579999924,-12.89000034,5.199999809,1.202936788,0.08967337,2.710462969,-15.79377947,0.252470478,0.297980502,-6.886702519,107.6107088,-1,1.818844412,-1.289417217,0.722898576,21.2304306,1620,61.70000076,35.20000076,-2.1875,0.232063888,210.523812,210,0,0,0,610,-0.022949964,89.67337,5,4,-15.79377947
30,0.108499996,0.0178,0.082099997,3.630000114,-13.09000015,338.8999939,1.303169672,0.091868572,2.737091368,-16.22643858,0.538523985,-0.00088563,-6.886708294,107.6107074,-1,1.984537816,-1.174922631,0.767517063,21.22644043,1614,61.60000229,35.10000229,-2.1875,0.109950394,213.9436443,213,0,0,0,615,-0.03437563,91.868572,5,3,-16.22643858
31,0.091400005,0.137899995,0.050999999,3.5,-13.63000011,338.7999878,1.398288634,0.095751569,2.687594147,-16.51403631,0.656739251,0.02829525,-6.886714613,107.6107059,-1,2.101958937,-1.152946333,0.837017278,21.23045158,1634,61.60000229,35.10000229,-2.67578125,0.165439927,216.6281308,216,0,0,0,615,-0.038353007,95.751569,0,3,-16.51403631
32,0.193300009,0.036800001,0.052099999,3.569999933,-13.96000004,338.5,1.49545317,0.094202355,2.679251538,-16.67462546,0.632884568,-0.044905202,-6.88672151,107.6107044,-1,2.261342582,-1.338965964,0.950189256,21.23044014,1634,61.60000229,35.10000229,-2.67578125,0.19677178,218.5392096,218,0,0,0,615,-0.033846017,94.202355,0,2,-16.67462546
33,0.0517,0.036699999,0.083499998,3.819999933,-13.75,338.2000122,1.591594916,0.095726177,2.870426199,-16.6615783,0.47504527,0.068708289,-6.886718288,107.6107052,-1,2.445823084,-1.386397395,1.054279975,21.22642136,1634,61.70000076,35.20000076,-2.08984375,0.063401734,219.3843526,219,0,0,0,615,-0.020885726,95.726177,0,1,-16.6615783
34,0.091800004,-0.032599997,0.081199996,3.779999971,-13.63000011,337.7999878,1.690804217,0.098580331,2.832871856,-16.49008777,0.378374138,-0.306232832,-6.886715708,107.6107057,-1,2.645362018,-1.340766094,1.15666426,21.2304306,1606,61.70000076,35.20000076,-2.48046875,0.097416634,218.5765208,219,0,0,0,615,-0.024114784,98.580331,0,0,-16.49008777
35,0.220100001,0.02,0.043900002,3.579999924,-13.39000034,337.2999878,1.782854844,0.097361073,2.600492827,-16.24016056,0.293385457,-0.147817585,-6.886722271,107.6107043,-1,2.924525999,-1.281737997,1.247822117,21.21850204,1666,61.70000076,35.20000076,-2.48046875,0.22100681,218.1960817,219,0,0,0,615,-0.013960646,97.361073,0,0,-16.24016056
36,0.179100007,-0.0053,0.048099998,3.809999943,-13.11999989,337.1000061,1.870815892,0.09264148,3.110597302,-15.89339877,0.244394514,0.87504688,-6.886718707,107.6107051,-1,3.12607477,-1.274784457,1.345621298,21.2224617,1634,61.70000076,35.20000076,-2.28515625,0.17917841,217.742951,218,0,0,0,615,-0.011702764,92.64148,0,-1,-15.89339877
37,-0.206200004,-0.0208,0.135000005,4.440000057,-12.75,337,1.967980434,0.096331105,3.649352083,-15.33587002,0.287443782,-0.008775509,-6.886725286,107.6107037,-1,3.299479111,-1.315096786,1.423800673,21.23443985,1634,61.70000076,35.20000076,-0.91796875,0.207246427,213.3617962,214,0,0,0,615,-0.017239086,96.331105,0,-4,-15.33587002
38,0.120099999,0.024,0.0634,4.420000076,-11.92000008,330.7999878,2.05900665,0.098874591,3.500461721,-14.75750546,0.425570446,-0.196558272,-6.88673231,107.6107021,-1,3.595151236,-1.365068321,1.54022522,21.23445129,1626,61.70000076,35.20000076,-1.40625,0.122474527,208.2082541,209,0,0,0,615,-0.027943546,98.874591,0,-5,-14.75750546
39,0.095300004,-0.160600007,0.095199995,3.940000057,-11.44999981,294.1000061,2.151057262,0.100403219,3.301204769,-14.26718911,0.661996199,-0.230063195,-6.886739762,107.6107006,-1,3.851445987,-1.401699876,1.65315168,21.10498047,3246,61.70000076,35.20000076,-1.796875,0.186747029,203.1748966,204,0,0,0,602.5,-0.042939391,100.403219,-12.5,-5,-14.26718911
40,0.086999997,-0.0007,0.0766,3.799999952,-11.07999992,265.2000122,2.247199852,0.097560711,2.991720346,-13.95464684,0.963120715,-0.361517223,-6.886748025,107.6106988,-1,3.800832277,-1.321948504,1.755628617,21.08118057,3466,61.70000076,35.20000076,-2.48046875,0.087002814,199.942332,200,0,0,0,597.5,-0.058027796,97.560711,-5,-4,-13.95464684
41,0.086999997,-0.0007,0.0766,3.799999952,-11.07999992,265.2000122,2.340272446,0.096203648,2.631720915,-13.86908864,1.285750205,-0.195151687,-6.886756301,107.6106972,-1,4.003208824,-1.358815232,1.836472263,21.22252083,1646,61.70000076,35.20000076,-2.578125,0.087002814,198.1913834,199,0,0,0,590,-0.077211499,96.203648,-7.5,-1,-13.86908864
42,0.086999997,-0.0007,0.0766,3.799999952,-11.07999992,265.2000122,2.437436957,0.096487507,2.652368158,-13.93522389,1.673331437,0.520635135,-6.886745783,107.6106992,-1,4.023335507,-1.495919293,1.958543766,21.10095024,3280,61.70000076,35.20000076,-2.08984375,0.087002814,198.9828369,199,0,0,0,575,-0.094322875,96.487507,-15,0,-13.93522389
43,0.082199998,-0.0093,0.081100002,3.630000114,-10.98999977,263.5,2.528465528,0.093657553,3.070950793,-13.97566374,1.96072127,0.140273926,-6.886753375,107.6106979,-1,4.008116609,-1.622049912,2.050590012,21.10095024,3266,61.70000076,35.20000076,-2.67578125,0.08272442,198.9041122,199,0,0,0,557.5,-0.106087454,93.657553,-17.5,0,-13.97566374
44,0.079000004,-0.0041,0.0766,3.809999943,-10.90999985,264.2999878,2.624607344,0.093710333,2.954356918,-13.9039548,2.221903722,-0.218321977,-6.886743941,107.6106994,-1,4.104009847,-1.784991291,2.146803938,21.1009903,3294,61.70000076,35.20000076,-2.578125,0.079106324,198.5636326,199,0,0,0,540,-0.118983872,93.710333,-17.5,0,-13.9039548
45,0.048599999,-0.0005,0.077199996,3.650000095,-10.89999962,261.3999939,2.714613218,0.094439887,2.808575868,-13.6390542,2.399419832,-0.048838891,-6.886750962,107.6106984,-1,4.238131256,-1.946907045,2.268801164,21.09694099,3280,61.60000229,35.20000076,-1.796875,0.048602571,197.6870316,198,0,0,0,520,-0.119043954,94.439887,-20,-1,-13.6390542
46,0.075499997,-0.0035,0.064900003,3.630000114,-10.36999989,260.3999939,2.791322012,0.08332435,2.925379237,-13.19177534,2.426759358,0.156535098,-6.886758308,107.6106973,-1,4.390314136,-2.055668567,2.36010988,21.08914185,3326,61.60000229,35.20000076,-2.28515625,0.075581079,193.7355362,194,0,0,0,502.5,-0.12005163,83.32435,-17.5,-4,-13.19177534
47,0.070100002,-0.0057,0.0603,3.920000076,-9.569999695,256.5,2.8618926,0.079065159,3.01579787,-12.64151247,2.337590216,-0.111457069,-6.886765975,107.6106962,-1,4.496587299,-2.101675547,2.466236823,21.07702065,3294,61.60000229,35.20000076,-2.67578125,0.070331361,188.6376279,189,0,0,0,485,-0.119212255,79.065159,-17.5,-5,-12.64151247
48,0.065300003,0.0012,0.055300001,3.670000076,-8.859999657,254.6999969,2.937579412,0.078410663,3.060140807,-11.94307721,2.097192321,0.021989457,-6.886774348,107.6106952,-1,4.624695261,-2.237966066,2.54483718,21.08106995,3360,61.60000229,35.20000076,-1.9921875,0.065311028,181.9590408,182,0,0,0,465,-0.095510267,78.410663,-20,-7,-11.94307721
