time1,depth_mpc,depth_pid,pitch_mpc,pitch_pid,inputbe_mpc,inputmm_mpc,inputbe_pid,inputmm_pid,pitch_sp,depth_sp,inputbe_sum_mpc,inputmm_sum_mpc,inputbe_sum_pid,inputmm_sum_pid
2.690850048,1.938318897,1.918885946,3.756427319,11.2021904,0,0,0,0,-10,3.5,0,21,0,2
2.78923008,1.938318897,1.918885946,3.640678468,11.1742363,0,0,0,0,-10,3.5,0,21,0,2
2.88907008,1.942410816,1.923999906,3.526127642,11.15688324,0,0,0,0,-10,3.5,0,21,0,2
2.989449984,1.934227754,1.92297709,3.415464097,11.13395214,0,0,0,0,-10,3.5,0,21,0,2
3.09744,1.944455583,1.921955109,3.300847711,11.10805035,0,0,0,0,-10,3.5,0,21,0,2
3.200300032,1.943432797,1.928091049,3.199564637,11.07988644,0,0,0,0,-10,3.5,0,21,0,2
3.293850112,1.945478369,1.921955109,3.100570837,11.05023575,0,0,0,0,-10,3.5,0,21,0,2
3.3896,1.948546727,1.931158543,3.009413743,11.02816391,0,0,0,0,-10,3.5,0,21,0,2
3.489900032,1.945478369,1.925022721,2.919893736,11.00374794,0,7,0,0,-10,3.5,0,28,0,2
3.59024,1.95161428,1.930136561,2.838991179,10.97437286,0,0,0,0,-10,3.5,0,28,0,2
3.691450112,1.949569513,1.928091049,2.760374693,10.92902851,0,0,0,0,-10,3.5,0,28,0,2
3.788770048,1.952638675,1.931158543,2.682472324,10.90035152,0,0,0,1,-10,3.5,0,28,0,3
3.89396992,1.950592299,1.931158543,2.608993464,10.88792324,0,0,0,0,-10,3.5,0,28,0,3
3.988499968,1.958774586,1.928091049,2.54144344,10.84008408,0,0,0,0,-10,3.5,0,28,0,3
4.089210112,1.954683442,1.932183027,2.479028479,10.80548,0,0,0,0,-10,3.5,0,28,0,3
4.189129984,1.955706228,1.932183027,2.426087738,10.7889185,0,0,0,0,-10,3.5,0,28,0,3
4.292999936,1.960820158,1.936272502,2.366203577,10.73440933,0,0,0,0,-10,3.5,0,28,0,3
4.389400064,1.960820158,1.930136561,2.317171259,10.69568825,0,0,0,0,-10,3.5,0,28,0,3
4.487689984,1.960820158,1.933205009,2.274146363,10.68170547,0,0,0,0,-10,3.5,0,28,0,3
4.59424,1.958774586,1.937296867,2.232837354,10.64110279,0,0,0,0,-10,3.5,0,28,0,3
4.68896,1.959797372,1.937296867,2.191331024,10.59920502,0,0,0,0,-10,3.5,0,28,0,3
4.791899904,1.965934057,1.941386461,2.155841085,10.56197071,0,5,0,0,-10,3.5,0,33,0,3
4.887699968,1.966956068,1.937296867,2.130172815,10.52923107,0,0,0,1,-10,3.5,0,33,0,4
4.987350016,1.966956068,1.939341664,2.115963727,10.49822998,0,0,0,0,-10,3.5,0,33,0,4
5.092130048,1.961842139,1.939341664,2.107422087,10.4659462,0,0,0,0,-10,3.5,0,33,0,4
5.188009984,1.967980434,1.942410827,2.108739701,10.4308157,0,0,0,0,-10,3.5,0,33,0,4
5.298589952,1.961842139,1.939341664,2.116631289,10.39252758,0,0,0,0,-10,3.5,0,33,0,4
5.387140096,1.969002415,1.943432808,2.130050236,10.36373615,0,0,0,0,-10,3.5,0,33,0,4
5.487650048,1.967980434,1.944455624,2.152613038,10.32770634,0,0,0,0,-10,3.5,0,33,0,4
5.591389952,1.969002415,1.946500421,2.178082919,10.27040386,0,0,0,0,-10,3.5,0,33,0,4
5.689479936,1.971047987,1.947524786,2.206731089,10.25863075,0,0,0,0,-10,3.5,0,33,0,4
5.788059904,1.970025201,1.950592279,2.244428726,10.22333717,0,0,0,0,-10,3.5,0,33,0,4
5.892059904,1.967980434,1.944455624,2.286172312,10.18872929,0,1,0,1,-10,3.5,0,34,0,5
5.987620096,1.965934057,1.947524786,2.332407957,10.13208771,0,0,0,0,-10,3.5,0,34,0,5
6.087079936,1.971047987,1.951614261,2.378239563,10.09683132,0,0,0,0,-10,3.5,0,34,0,5
6.190739968,1.969002415,1.951614261,2.425120349,10.0617609,0,0,0,0,-10,3.5,0,34,0,5
6.291990016,1.970025201,1.954683423,2.47312591,10.0233984,0,0,0,0,-10,3.5,0,34,0,5
6.389410048,1.970025201,1.954683423,2.52477744,10.00490475,0,0,0,0,-10,3.5,0,34,0,5
6.48651008,1.970025201,1.959797382,2.584209298,9.9532547,0,0,0,0,-10,3.5,0,34,0,5
6.593949952,1.965934057,1.957752585,2.646101698,9.91964817,0,0,0,0,-10,3.5,0,34,0,5
6.688869888,1.970025201,1.953660607,2.719139573,9.878751755,0,0,0,0,-10,3.5,0,34,0,5
6.78715008,1.970025201,1.953660607,2.798621584,9.841821671,0,0,0,0,-10,3.5,0,34,0,5
6.886520064,1.965934057,1.957752585,2.887464419,9.802184105,0,0,0,0,-10,3.5,0,34,0,5
6.98788992,1.964911301,1.961842179,2.978969176,9.788152695,0,-1,5,1,-10,3.5,0,35,0,6
7.088519936,1.966956068,1.960820198,3.07572111,9.759823799,0,0,0,0,-10,3.5,0,35,5,6
7.189509888,1.961842139,1.957752585,3.172861922,9.729314804,0,0,0,0,-10,3.5,0,35,5,6
7.293189888,1.961842139,1.959797382,3.27413859,9.699188232,0,0,0,0,-10,3.5,0,35,5,6
7.391559936,1.963888515,1.960820198,3.381846152,9.650259972,0,0,0,0,-10,3.5,0,35,5,6
7.48672,1.959797372,1.95672822,3.490369696,9.633747101,0,0,0,0,-10,3.5,0,35,5,6
7.597609984,1.965934057,1.962866545,3.602740159,9.609146118,0,0,10,0,-10,3.5,0,35,5,6
7.693690112,1.959797372,1.965934038,3.718448862,9.580133438,0,0,0,0,-10,3.5,0,35,15,6
7.786000128,1.962866504,1.963888526,3.838690413,9.546372414,0,0,0,0,-10,3.5,0,35,15,6
7.886419968,1.958774586,1.965934038,3.956292892,9.510803223,0,0,0,0,-10,3.5,0,35,15,6
7.98660992,1.959797372,1.969002366,4.080050785,9.453474998,0,0,10,-1,-10,3.5,0,35,15,7
8.091450112,1.958774586,1.967980385,4.202131443,9.434407234,0,0,0,0,-10,3.5,0,35,25,7
8.186170112,1.957752604,1.967980385,4.336075323,9.396040916,0,0,0,0,-10,3.5,0,35,25,7
8.289769984,1.95161428,1.969002366,4.470639358,9.360236168,0,-4,0,0,-10,3.5,0,39,25,7
8.386490112,1.955706228,1.973094344,4.60666494,9.321409225,0,0,0,0,-10,3.5,0,39,25,7
8.48704,1.953660656,1.972069979,4.752375945,9.283397675,0,0,10,0,-10,3.5,0,39,25,7
8.587229952,1.950592299,1.969002366,4.897509506,9.224497795,0,0,0,0,-10,3.5,0,39,35,7
8.688069888,1.952638675,1.976161957,5.051435843,9.186517715,0,0,0,0,-10,3.5,0,39,35,7
8.786629888,1.95161428,1.977183938,5.208792248,9.145735741,0,0,0,0,-10,3.5,0,39,35,7
8.891209984,1.945478369,1.973094344,5.361918194,9.123871803,0,0,0,0,-10,3.5,0,39,35,7
8.990309888,1.94650038,1.981275797,5.517132675,9.066842079,0,0,10,0,-10,3.5,0,39,35,7
9.089469952,1.94650038,1.978208303,5.66915584,9.022296906,0,0,0,0,-10,3.5,0,39,45,7
9.190230016,1.944455583,1.981275797,5.81615926,8.988578796,0,0,0,0,-10,3.5,0,39,45,7
9.289819904,1.942410816,1.983322263,5.962532702,8.943382263,0,0,0,0,-10,3.5,0,39,45,7
9.38656,1.940364469,1.984344244,6.10332732,8.893242836,0,0,0,0,-10,3.5,0,39,45,7
9.489309952,1.945478369,1.986389756,6.2423832,8.849219322,0,0,0,0,-10,3.5,0,39,45,7
9.58976,1.940364469,1.987411737,6.382257411,8.824034691,0,0,10,0,-10,3.5,0,39,45,7
9.690089984,1.942410816,1.985366941,6.523401399,8.769472122,0,-6,0,0,-10,3.5,0,45,55,7
9.784890112,1.940364469,1.993550062,6.669349446,8.718419075,0,0,0,0,-10,3.5,0,45,55,7
9.892989952,1.934227754,1.993550062,6.821799288,8.662940979,0,0,0,0,-10,3.5,0,45,55,7
9.984709888,1.931158592,1.998664021,6.978248952,8.573543549,0,0,10,0,-10,3.5,0,45,55,7
10.08481997,1.931158592,1.996617556,7.142026855,8.547269821,0,0,0,0,-10,3.5,0,45,65,7
10.19165005,1.93013661,1.999686003,7.29937728,8.485415459,0,0,0,0,-10,3.5,0,45,65,7
10.28976998,1.932182987,2.001731634,7.467291253,8.425858498,0,0,0,0,-10,3.5,0,45,65,7
10.3902999,1.933204968,1.997639537,7.632381217,8.360041618,0,0,0,0,-10,3.5,0,45,65,7
10.48503987,1.929113824,2.003777981,7.798379204,8.255263329,0,0,10,0,-10,3.5,0,45,65,7
10.59123994,1.927069057,2.005822659,7.960621244,8.228042603,0,0,0,0,-10,3.5,0,45,75,7
10.6856,1.923999895,2.005822659,8.1227753,8.127980232,0,0,0,0,-10,3.5,0,45,75,7
10.78788992,1.922977109,2.008891821,8.276714451,8.099854469,0,0,0,0,-10,3.5,0,45,75,7
10.88923008,1.927069057,2.008891821,8.432795098,8.024227142,0,0,0,0,-10,3.5,0,45,75,7
11.01314995,1.918885995,2.016050577,8.575074327,7.910046101,0,0,10,0,-10,3.5,0,45,75,7
11.09708006,1.918885995,2.016050577,8.716784655,7.839312553,0,0,0,0,-10,3.5,0,45,85,7
11.18513997,1.922977109,2.020141602,8.85359269,7.800309658,0,-7,0,0,-10,3.5,0,52,85,7
11.28865997,1.918885995,2.01911974,8.980367214,7.719434261,0,0,0,0,-10,3.5,0,52,85,7
11.3850199,1.917863209,2.02423358,9.10903466,7.597648144,0,0,0,0,-10,3.5,0,52,85,7
11.48564992,1.917863209,2.028323174,9.231169987,7.505961418,0,0,7.5,0,-10,3.5,0,52,85,7
11.58691994,1.914794852,2.02525568,9.354393573,7.415393829,0,0,0,0,-10,3.5,0,52,92.5,7
11.69606989,1.916841198,2.02934742,9.471003892,7.319338322,0,0,0,0,-10,3.5,0,52,92.5,7
11.78447002,1.915816833,2.031392336,9.588709303,7.268784523,0,0,0,0,-10,3.5,0,52,92.5,7
11.88505011,1.909680922,2.039575338,9.712126794,7.112885475,0,0,0,0,-10,3.5,0,52,92.5,7
11.98504013,1.91274928,2.037528992,9.82681771,7.062153816,0,0,10,0,-10,3.5,0,52,92.5,7
12.08482995,1.911727299,2.038551092,9.932981935,6.956047535,0,0,0,0,-10,3.5,0,52,102.5,7
12.18871987,1.911727299,2.046734095,10.03952201,6.846191883,0,0,0,2,-10,3.5,0,52,102.5,9
12.28849997,1.913772066,2.04775691,10.14830096,6.679893017,0,0,0,0,-10,3.5,0,52,102.5,9
12.38764006,1.910702903,2.046734095,10.2569253,6.624064446,0,0,0,0,-10,3.5,0,52,102.5,9
12.49014989,1.906613369,2.051847935,10.35754914,6.515553474,0,0,10,0,-10,3.5,0,52,102.5,9
12.5874199,1.902521421,2.056962013,10.45020836,6.343019962,0,-5,0,0,-10,3.5,0,57,112.5,9
12.68829005,1.904566993,2.061053038,10.54200141,6.283557892,0,0,0,0,-10,3.5,0,57,112.5,9
12.78514995,1.905588974,2.062075853,10.63185199,6.16980505,0,0,0,0,-10,3.5,0,57,112.5,9
12.88655002,1.906613369,2.067189693,10.71273939,6.053154945,0,0,0,0,-10,3.5,0,57,112.5,9
12.98558003,1.908658136,2.06923461,10.79095568,5.931634903,-2.5,0,10,0,-10,3.5,2.5,57,112.5,9
13.08454989,1.910702903,2.075372934,10.87031831,5.801067829,0,0,0,0,-10,3.5,2.5,57,122.5,9
13.18828006,1.903544207,2.075372934,10.9473558,5.610593319,0,0,0,0,-10,3.5,2.5,57,122.5,9
13.28719002,1.905588974,2.082531452,11.02228168,5.54728508,0,0,0,0,-10,3.5,2.5,57,122.5,9
13.3837801,1.905588974,2.085600615,11.09289468,5.41328907,0,0,0,4,-10,3.5,2.5,57,122.5,13
13.48317005,1.899453063,2.089690208,11.15600518,5.27682066,-7.5,0,10,0,-10,3.5,10,57,122.5,13
13.58369997,1.905588974,2.090714693,11.21512141,5.137494564,0,0,0,0,-10,3.5,10,57,132.5,13
13.6871401,1.904566993,2.096850395,11.26321837,4.929105282,0,0,0,0,-10,3.5,10,57,132.5,13
13.78334003,1.903544207,2.105031967,11.30820944,4.784192085,0,0,0,0,-10,3.5,10,57,132.5,13
13.88754995,1.903544207,2.104010105,11.33893354,4.630979538,0,-4,0,0,-10,3.5,10,61,132.5,13
13.9855401,1.904566993,2.10810113,11.36300509,4.480712414,7.5,0,10,0,-10,3.5,17.5,61,132.5,13
14.08343987,1.902521421,2.117306232,11.37579342,4.330243587,0,0,0,0,-10,3.5,17.5,61,142.5,13
14.18399002,1.905588974,2.121398211,11.391293,4.174139023,0,0,0,0,-10,3.5,17.5,61,142.5,13
14.28750003,1.901499439,2.124465704,11.39940625,4.022428513,0,0,0,0,-10,3.5,17.5,61,142.5,13
14.39080013,1.903544207,2.126512051,11.40046888,3.866763115,0,0,0,0,-10,3.5,17.5,61,142.5,13
14.48784998,1.899453063,2.134693623,11.40221488,3.710003853,10,0,10,0,-10,3.5,27.5,61,142.5,13
14.58430003,1.899453063,2.139807463,11.40261124,3.627940893,0,0,0,5,-10,3.5,27.5,61,152.5,18
14.68397005,1.908658136,2.140829325,11.40397113,3.467088461,0,0,0,0,-10,3.5,27.5,61,152.5,18
14.78329011,1.905588974,2.143898487,11.40420518,3.312250614,0,0,0,0,-10,3.5,27.5,61,152.5,18
14.88753997,1.904566993,2.154126406,11.39991109,3.150089741,0,0,0,0,-10,3.5,27.5,61,152.5,18
14.98956006,1.905588974,2.157195568,11.39985556,2.902750492,0,0,10,0,-10,3.5,27.5,61,152.5,18
15.08575002,1.90763535,2.160263062,11.38929672,2.821286201,0,0,0,0,-10,3.5,27.5,61,162.5,18
15.18801997,1.909680922,2.167423487,11.37288655,2.658618212,0,0,0,0,-10,3.5,27.5,61,162.5,18
15.29115008,1.911727299,2.176626921,11.35617143,2.497027397,0,0,0,0,-10,3.5,27.5,61,162.5,18
