Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,Unnamed: 33,be_rate,depth_rate,mm_rate,pitch
13,1.70E+18,0.038400002,-0.012800001,0.0187,1.590000033,1.769999981,227,3.982866068,0.031216042,-0.031135954,-0.292673449,270.5700382,-0.200996156,-6.886511813,107.6103565,-1,0,0,0,20.51670074,3120,59.66999817,37.04000092,932.5999756,0.040477156,250.4979704,251,0,0,0,377.5,0.036277898,100048640,-12.5,31.216042,0,-0.292673449
14,1.70E+18,0.033500001,-0.0133,0.015699999,1.299999952,2.730000019,283.7999878,4.002297421,0.032277346,-0.086810624,0.666500218,270.6640693,0.015860933,-6.88651072,107.610373,-1,0,0,0,20.6539402,1214,59.68999863,37.02000046,932.2000122,0.036043585,250.4979704,251,0,0,0,375,0.036277898,99929600,-2.5,32.277346,0,0.666500218
15,1.70E+18,0.034000002,-0.0068,0.015699999,1.350000024,3.779999971,225.8000031,4.018663425,0.026175095,-0.096918745,1.596916028,270.7159777,-0.093136665,-6.886509684,107.6103898,-1,0,0,0,20.52449036,2840,59.63999939,37.02000046,932.0999756,0.034673335,250.4979704,251,0,0,0,365,0.036277898,100082176,-10,26.175095,0,1.596916028
16,1.70E+18,0.031200001,-0.0137,0.0137,1.279999971,4.690000057,225.1999969,4.032980938,0.025794834,-0.173296048,2.505241733,270.6675135,-0.089166593,-6.886508725,107.610407,-1,0,0,0,20.50476265,3166,59.63999939,37.02000046,931.7000122,0.034075359,250.4979704,251,0,0,0,352.5,0.036277898,99637760,-12.5,25.794834,0,2.505241733
17,1.70E+18,0.0298,-0.016299998,0.013,1.149999976,5.570000172,283,4.047300596,0.023522556,-0.218783129,3.300116724,270.5864937,0.043594305,-6.88650788,107.6104245,-1,0,0,0,20.64586067,1274,59.66999817,37.02000046,932.0999756,0.0339666,250.4979704,251,0,0,0,350,0.036277898,108919552,-2.5,23.522556,0,3.300116724
18,1.70E+18,0.0275,-0.0075,0.0144,0.879999995,6.400000095,224.1999969,4.057528515,0.020912113,-0.15637675,3.974414887,270.5042438,0.023568927,-6.886507161,107.6104424,-1,0,0,0,20.52031136,2994,59.61999893,37.00999832,931.5999756,0.028504385,250.4979704,251,0,0,0,340,0.036277898,99964928,-10,20.912113,0,3.974414887
19,1.70E+18,0.027100001,-0.0155,0.0136,1.080000043,7.019999981,223.8999939,4.075938721,0.019874286,-0.148774871,4.5569531,270.3900945,-0.078318301,-6.886506561,107.6104605,-1,0,0,0,20.5046711,3120,59.63999939,37.04000092,931.5999756,0.031219545,250.4979704,251,0,0,0,327.5,0.036277898,98280704,-12.5,19.874286,0,4.5569531
20,1.70E+18,0.024799999,-0.0143,0.0137,1.090000033,7.579999924,283.1000061,4.087189217,0.019544,-0.158071509,5.04462867,270.2857309,0.070025182,-6.88650611,107.610478,-1,0,0,0,20.64986992,1226,59.61999893,37.02000046,931.2999878,0.028627433,250.4979704,251,0,0,0,325,0.036277898,99979776,-2.5,19.544,0,5.04462867
21,1.70E+18,0.025899999,-0.0127,0.0132,0.970000029,8.229999542,223.1999969,4.103553791,0.017789958,-0.095810899,5.465934089,270.1383427,0.082851836,-6.886505764,107.6104977,-1,0,0,0,20.52037048,2834,59.61999893,37.00999832,931.0999756,0.028846142,250.4979704,251,0,0,0,307.5,0.036277898,98425344,-17.5,17.789958,0,5.465934089
22,1.70E+18,0.024,-0.016299998,0.0137,1.24000001,8.630000114,281.2000122,4.111736078,0.015702801,-0.094831758,5.831918519,269.9571142,-0.06042488,-6.886505545,107.6105166,-1,0,0,0,20.65773964,1160,59.59000015,37.02000046,930.7999878,0.029011893,250.4979704,251,0,0,0,302.5,0.036277898,99373568,-5,15.702801,0,5.831918519
23,1.70E+18,0.022,-0.0141,0.0122,1.149999976,8.850000381,223,4.122986813,0.015433065,-0.099723179,6.154246154,269.7438769,0.065482437,-6.886505467,107.6105348,-1,0,0,0,20.53217125,2814,59.56000137,37.00999832,930.7000122,0.026130633,250.4979704,251,0,0,0,287.5,0.036277898,99646720,-15,15.433065,0,6.154246154
24,1.70E+18,0.0013,-0.030400001,0.017100001,1.200000048,9.289999962,281.2000122,4.13014533,0.013252559,-0.055578021,6.532820309,269.5153321,0.050616111,-6.886505494,107.610555,-1,0,0,0,20.64978981,1166,59.61999893,37.04000092,930.5,0.030427784,250.4979704,251,0,0,0,285,0.036277898,100007936,-2.5,13.252559,0,6.532820309
25,1.70E+18,0.018999999,-0.015699999,0.0074,1.360000014,9.710000038,222.6000061,4.135259409,0.007493216,-0.017843807,6.906445619,269.3563267,0.053963737,-6.886505669,107.6105743,-1,0,0,0,20.52431107,2834,59.59000015,37.02000046,930.5,0.024647311,250.4979704,251,0,0,0,277.5,0.036277898,100402944,-7.5,7.493216,0,6.906445619
26,1.70E+18,0.019200001,-0.0139,0.0049,1.269999981,10.06999969,222.5,4.134237309,0.005235916,0.026317097,7.26389866,269.2394712,0.123173602,-6.88650601,107.6105937,-1,0,0,0,20.51275063,3194,59.61000061,37.04000092,930.2999878,0.023703376,250.4979704,251,0,0,0,267.5,0.036277898,100079616,-10,5.235916,0,7.26389866
27,1.70E+18,0.008,-0.014,0.0026,1.200000048,10.40999985,279.6000061,4.138328571,0.004360267,0.091161352,7.664799216,269.1746608,0.01123734,-6.886506489,107.6106133,-1,0,0,0,20.64978981,1220,59.54999924,37.04000092,930,0.016124516,250.4979704,251,0,0,0,262.5,0.036277898,99572736,-5,4.360267,0,7.664799216
28,1.70E+18,0.0132,-0.0135,-0.0008,1.269999981,10.78999996,222,4.129123468,-0.001196501,0.068233136,8.085647206,269.1400826,-0.067463676,-6.886507078,107.6106319,-1,0,0,0,20.53620148,2780,59.61000061,37.02000046,929.7999878,0.018880943,250.4979704,251,0,0,0,252.5,0.036277898,100075776,-10,-1.196501,0,8.085647206
