Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depth_rate,mm_rate,pitch
16,0.0275,-0.015600001,0.055300001,4.46999979,1.870000005,14.19999981,0.16685607,0.029212011,3.705468764,-2.373080582,0.169300149,-0.125231039,-6.886641701,107.6107338,-1,-0.522359556,5.905654931,0.09392105,21.10111046,3360,61.5,35.29999924,-1.40625,0.03161661,176.1817804,176,0,0,0,422.5,-0.027108992,20,29.212011,4,-2.373080582
17,0.0071,-0.016000001,0.056599997,4.449999809,0.5,14,0.223109145,0.037282709,3.605929767,-3.425076699,359.3572932,-0.204868622,-6.886636574,107.6107365,-1,-0.516843476,5.854675767,0.11781147,21.09706116,3346,61.5,35.29999924,-2.08984375,0.017504572,182.2093365,182,0,0,0,442.5,0.063412972,20,37.282709,6,-3.425076699
18,-0.0029,-0.017100001,0.067900002,4.340000153,-0.150000006,14,0.284476299,0.049757764,3.459960365,-4.469761233,358.3538669,-0.237098708,-6.886631214,107.6107389,-1,-0.574382538,5.890323992,0.111477485,21.09320068,3366,61.5,35.29999924,-2.67578125,0.017344164,188.1790603,188,0,0,0,460,0.113741465,17.5,49.757764,6,-4.469761233
19,0.007900001,-0.0254,0.075599998,4.389999866,-1.409999967,13.60000038,0.349934478,0.05379406,3.276533572,-5.646305811,357.5325437,-0.252467061,-6.886625638,107.6107412,-1,-0.59735046,5.945411046,0.159528509,21.07338142,3546,61.5,35.29999924,-2.1875,0.026600188,195.307053,195,0,0,0,480,0.148982614,20,53.79406,7,-5.646305811
20,0.0073,-0.0141,0.0757,3.809999943,-2.380000114,13.39999962,0.418460984,0.057381403,3.088381094,-6.738300156,357.0825887,-0.095142035,-6.886619522,107.6107434,-1,-0.656788119,5.995373784,0.200702159,21.0931015,3540,61.60000229,35.29999924,-2.1875,0.015877658,201.891741,201,0,0,0,497.5,0.16474922,17.5,57.381403,6,-6.738300156
21,0.019399999,-0.0075,0.0788,3.970000029,-3.75,13.69999981,0.493124266,0.062720731,3.062629111,-7.660837405,357.0728849,-0.038617787,-6.886613781,107.6107452,-1,-0.721805421,6.05928688,0.231495796,21.08903122,3406,61.60000229,35.29999924,-0.625,0.020799278,206.5391981,206,0,0,0,517.5,0.140342146,20,62.720731,5,-7.660837405
22,0.019399999,-0.0075,0.0788,3.970000029,-3.75,13.69999981,0.568810363,0.067733705,3.020916917,-8.454517574,357.3972921,0.037844473,-6.886607559,107.6107469,-1,-0.756199067,6.046181888,0.275765995,21.10503006,3314,61.60000229,35.29999924,-1.69921875,0.020799278,210.0612268,210,0,0,0,535,0.114151478,17.5,67.733705,4,-8.454517574
23,0.0032,0.0198,0.077599995,3.809999943,-5.849999905,13.89999962,0.646541972,0.069353864,3.237508285,-8.934266533,357.9413329,0.3674219,-6.88660118,107.6107484,-1,-0.747298586,6.032739284,0.340407634,21.23451996,1660,61.60000229,35.29999924,-1.30859375,0.020056919,211.5230072,211,0,0,0,545,0.076431081,10,69.353864,1,-8.934266533
24,0.028200001,0.0219,0.074099995,4.28000021,-6,14.5,0.720182498,0.070240468,3.310855383,-9.120350336,358.7364968,0.000498924,-6.886608314,107.6107471,-1,-0.689934981,6.04312776,0.389233407,21.10098076,3320,61.60000229,35.29999924,-1.6015625,0.035705042,210.0367825,211,0,0,0,557.5,0.031052887,12.5,70.240468,0,-9.120350336
25,0.015699999,0.032599997,0.076699995,4,-5.949999809,3.200000048,0.800982435,0.076407455,3.076540935,-9.148487904,359.977625,0.066927201,-6.886613419,107.6107464,-1,-0.685952825,6.117149531,0.452372958,21.08529091,3620,61.60000229,35.29999924,-2.578125,0.036183557,209.0870976,210,0,0,0,562.5,0.053222463,5,76.407455,-1,-9.148487904
